club_id,name,pretty_name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
1095,es-troyes-ac,Es Troyes Ac,FR1,,29,25.0,16,55.2,5,Stade de l'Aube,21877,€-7.50m,Claude Robin,https://www.transfermarkt.co.uk/es-troyes-ac/startseite/verein/1095
1096,royal-antwerpen-fc,Royal Antwerpen Fc,BE1,,29,25.2,16,55.2,5,De Bosuil,16144,€-10.81m,Mark van Bommel,https://www.transfermarkt.co.uk/royal-antwerpen-fc/startseite/verein/1096
667,rc-strassburg-alsace,Rc Strassburg Alsace,FR1,,25,26.4,9,36.0,6,Stade de la Meinau,29000,€-3.50m,Julien Stéphan,https://www.transfermarkt.co.uk/rc-strassburg-alsace/startseite/verein/667
995,fc-nantes,Fc Nantes,FR1,,28,25.8,10,35.7,7,Stade de la Beaujoire,37463,€-10.65m,Antoine Kombouaré,https://www.transfermarkt.co.uk/fc-nantes/startseite/verein/995
969,montpellier-hsc,Montpellier Hsc,FR1,,28,25.0,10,35.7,6,Stade de la Mosson,32939,€-1.00m,Romain Pitau,https://www.transfermarkt.co.uk/montpellier-hsc/startseite/verein/969
520,cercle-brugge,Cercle Brugge,BE1,,27,23.3,18,66.7,5,Jan-Breydel-Stadion,29062,€-1.25m,Miron Muslic,https://www.transfermarkt.co.uk/cercle-brugge/startseite/verein/520
1420,sco-angers,Sco Angers,FR1,,33,24.5,16,48.5,9,Stade Raymond Kopa,19350,+€17.00m,Gérald Baticle,https://www.transfermarkt.co.uk/sco-angers/startseite/verein/1420
417,ogc-nizza,Ogc Nizza,FR1,,28,25.0,18,64.3,9,Allianz Riviera,36178,€-37.00m,Lucien Favre,https://www.transfermarkt.co.uk/ogc-nizza/startseite/verein/417
244,olympique-marseille,Olympique Marseille,FR1,,27,24.7,18,66.7,15,Orange Vélodrome,67394,€-59.93m,Igor Tudor,https://www.transfermarkt.co.uk/olympique-marseille/startseite/verein/244
415,fc-toulouse,Fc Toulouse,FR1,,26,24.0,21,80.8,6,Stadium Municipal,33150,+€600k,Philippe Montanier,https://www.transfermarkt.co.uk/fc-toulouse/startseite/verein/415
273,fc-stade-rennes,Fc Stade Rennes,FR1,,29,23.7,12,41.4,12,Roazhon Park,29778,€-6.00m,Bruno Génésio,https://www.transfermarkt.co.uk/fc-stade-rennes/startseite/verein/273
