Data;Em casa;Resultado;Visitante;Relatório da Partida;Season;home_goal;away_goal
2002-12-20;Marseille;1–1;Monaco;Relatório da Partida;2002;1;1
2002-12-20;Strasbourg;0–0;Nice;Relatório da Partida;2002;0;0
2002-12-20;Bastia;3–1;Nantes;Relatório da Partida;2002;3;1
2003-01-10;Lyon;1–0;Marseille;Relatório da Partida;2002;1;0
2003-01-11;Rennes;2–1;Guingamp;Relatório da Partida;2002;2;1
2003-01-11;Auxerre;1–0;Troyes;Relatório da Partida;2002;1;0
2003-01-11;Monaco;0–0;Bastia;Relatório da Partida;2002;0;0
2003-01-11;Nice;2–0;Lille;Relatório da Partida;2002;2;0
2003-01-11;Ajaccio;0–0;Paris S-G;Relatório da Partida;2002;0;0
2003-01-11;Bordeaux;3–1;Montpellier;Relatório da Partida;2002;3;1
2003-01-14;Marseille;2–0;Rennes;Relatório da Partida;2002;2;0
2003-01-15;Bastia;2–0;Lyon;Relatório da Partida;2002;2;0
2003-01-15;Sedan;1–1;Ajaccio;Relatório da Partida;2002;1;1
2003-01-15;Montpellier;2–2;Nice;Relatório da Partida;2002;2;2
2003-01-15;Sochaux;0–0;Monaco;Relatório da Partida;2002;0;0
2003-01-15;Paris S-G;1–0;Le Havre;Relatório da Partida;2002;1;0
2003-01-15;Guingamp;0–2;Auxerre;Relatório da Partida;2002;0;2
2003-01-18;Montpellier;0–0;Auxerre;Relatório da Partida;2002;0;0
2003-01-18;Le Havre;1–1;Strasbourg;Relatório da Partida;2002;1;1
2003-01-18;Lens;4–0;Sedan;Relatório da Partida;2002;4;0
2003-01-21;Auxerre;0–0;Marseille;Relatório da Partida;2002;0;0
2003-01-22;Lyon;4–1;Sochaux;Relatório da Partida;2002;4;1
2003-01-22;Monaco;1–1;Lens;Relatório da Partida;2002;1;1
2003-01-22;Le Havre;1–0;Montpellier;Relatório da Partida;2002;1;0
2003-01-22;Nice;0–0;Paris S-G;Relatório da Partida;2002;0;0
2003-01-22;Bordeaux;4–2;Guingamp;Relatório da Partida;2002;4;2
2003-01-22;Nantes;4–1;Sedan;Relatório da Partida;2002;4;1
2003-01-22;Ajaccio;1–0;Troyes;Relatório da Partida;2002;1;0
2003-01-22;Lille;0–1;Strasbourg;Relatório da Partida;2002;0;1
2003-01-22;Rennes;0–1;Bastia;Relatório da Partida;2002;0;1
2003-01-28;Marseille;2–0;Nice;Relatório da Partida;2002;2;0
2003-01-29;Paris S-G;1–0;Lille;Relatório da Partida;2002;1;0
2003-01-29;Montpellier;0–1;Ajaccio;Relatório da Partida;2002;0;1
2003-01-29;Sedan;2–1;Strasbourg;Relatório da Partida;2002;2;1
2003-01-29;Lens;2–2;Lyon;Relatório da Partida;2002;2;2
2003-01-29;Troyes;0–1;Bordeaux;Relatório da Partida;2002;0;1
2003-01-29;Bastia;2–0;Auxerre;Relatório da Partida;2002;2;0
2003-01-29;Sochaux;1–0;Rennes;Relatório da Partida;2002;1;0
2003-01-29;Guingamp;1–2;Le Havre;Relatório da Partida;2002;1;2
2003-01-29;Nantes;0–2;Monaco;Relatório da Partida;2002;0;2
2003-02-01;Nice;1–0;Guingamp;Relatório da Partida;2002;1;0
2003-02-01;Strasbourg;0–1;Paris S-G;Relatório da Partida;2002;0;1
2003-02-01;Rennes;1–1;Lens;Relatório da Partida;2002;1;1
2003-02-01;Monaco;3–0;Sedan;Relatório da Partida;2002;3;0
2003-02-01;Le Havre;1–0;Troyes;Relatório da Partida;2002;1;0
2003-02-01;Lyon;0–0;Nantes;Relatório da Partida;2002;0;0
2003-02-01;Ajaccio;1–1;Bastia;Relatório da Partida;2002;1;1
2003-02-01;Auxerre;2–0;Sochaux;Relatório da Partida;2002;2;0
2003-02-02;Bordeaux;3–1;Marseille;Relatório da Partida;2002;3;1
