Data;Em casa;Resultado;Visitante;Relatório da Partida;Season;home_goal;away_goal
2013-03-02;Lorient;1–1;Valenciennes;Relatório da Partida;2012;1;1
2013-03-02;Reims;1–0;Paris S-G;Relatório da Partida;2012;1;0
2013-03-02;Saint-Étienne;4–0;Nice;Relatório da Partida;2012;4;0
2013-03-02;Sochaux;1–2;Nancy;Relatório da Partida;2012;1;2
2013-03-02;Bastia;1–0;Ajaccio;Relatório da Partida;2012;1;0
2013-03-03;Lille;2–1;Bordeaux;Relatório da Partida;2012;2;1
2013-03-03;Marseille;2–1;Troyes;Relatório da Partida;2012;2;1
2013-03-03;Brest;1–1;Lyon;Relatório da Partida;2012;1;1
2013-03-08;Rennes;2–2;Saint-Étienne;Relatório da Partida;2012;2;2
2013-03-09;Valenciennes;1–3;Lille;Relatório da Partida;2012;1;3
2013-03-09;Paris S-G;2–1;Nancy;Relatório da Partida;2012;2;1
2013-03-09;Troyes;4–2;Reims;Relatório da Partida;2012;4;2
2013-03-09;Evian;5–1;Sochaux;Relatório da Partida;2012;5;1
2013-03-09;Ajaccio;1–0;Lorient;Relatório da Partida;2012;1;0
2013-03-09;Brest;0–1;Toulouse;Relatório da Partida;2012;0;1
2013-03-10;Bordeaux;1–0;Bastia;Relatório da Partida;2012;1;0
2013-03-10;Nice;2–0;Montpellier;Relatório da Partida;2012;2;0
2013-03-10;Lyon;0–0;Marseille;Relatório da Partida;2012;0;0
2013-03-15;Marseille;0–0;Ajaccio;Relatório da Partida;2012;0;0
2013-03-16;Sochaux;1–1;Valenciennes;Relatório da Partida;2012;1;1
2013-03-16;Lille;1–2;Evian;Relatório da Partida;2012;1;2
2013-03-16;Montpellier;1–1;Troyes;Relatório da Partida;2012;1;1
2013-03-16;Lorient;4–0;Brest;Relatório da Partida;2012;4;0
2013-03-16;Reims;1–0;Rennes;Relatório da Partida;2012;1;0
2013-03-16;Bastia;4–1;Lyon;Relatório da Partida;2012;4;1
2013-03-17;Toulouse;0–0;Bordeaux;Relatório da Partida;2012;0;0
2013-03-17;Saint-Étienne;2–2;Paris S-G;Relatório da Partida;2012;2;2
2013-03-17;Nancy;1–0;Nice;Relatório da Partida;2012;1;0
2013-03-29;Paris S-G;1–0;Montpellier;Relatório da Partida;2012;1;0
2013-03-30;Ajaccio;2–3;Toulouse;Relatório da Partida;2012;2;3
2013-03-30;Troyes;2–2;Saint-Étienne;Relatório da Partida;2012;2;2
2013-03-30;Rennes;0–2;Nancy;Relatório da Partida;2012;0;2
2013-03-30;Valenciennes;3–4;Bastia;Relatório da Partida;2012;3;4
2013-03-30;Bordeaux;1–1;Lorient;Relatório da Partida;2012;1;1
2013-03-30;Evian;2–2;Reims;Relatório da Partida;2012;2;2
2013-03-31;Nice;0–1;Marseille;Relatório da Partida;2012;0;1
2013-03-31;Brest;1–2;Lille;Relatório da Partida;2012;1;2
2013-03-31;Lyon;1–2;Sochaux;Relatório da Partida;2012;1;2
2013-04-05;Marseille;1–0;Bordeaux;Relatório da Partida;2012;1;0
2013-04-06;Montpellier;3–1;Valenciennes;Relatório da Partida;2012;3;1
2013-04-06;Nancy;1–0;Troyes;Relatório da Partida;2012;1;0
