Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
10,sáb,2020-09-12,19:00,Santos,1.0,2–2,1.3,São Paulo,,Estádio Urbano Caldeira,Luiz Flávio de Oliveira,Relatório da Partida,
10,dom,2020-09-13,16:00,Grêmio,1.8,1–1,0.1,Fortaleza,,Arena do Grêmio,Igor Junior Benevenuto,Relatório da Partida,
10,dom,2020-09-13,16:00,Fluminense,1.4,2–1,0.7,Corinthians,,Estadio Jornalista Mário Filho,Braulio da Silva Machado,Relatório da Partida,
10,dom,2020-09-13,18:00,Ceará,0.5,2–0,0.7,Flamengo,,Estádio Castelão,Marielson Alves Silva,Relatório da Partida,
10,dom,2020-09-13,18:00,Goiás,0.3,1–0,2.5,Internacional,,Estádio de Hailé Pinheiro,Flavio Rodrigues De Souza,Relatório da Partida,
10,dom,2020-09-13,18:00,Bahia,0.4,0–1,0.9,Atl Goianiense,,Estádio Governador Roberto Santos,Vinicius Gomes do Amaral,Relatório da Partida,
10,dom,2020-09-13,18:00,Atlético Mineiro,2.0,2–1,1.2,Bragantino,,Estádio Raimundo Sampaio,Ramon Abatti Abel,Relatório da Partida,
10,dom,2020-09-13,19:45,Palmeiras,1.9,2–2,1.4,Sport Recife,,Allianz Parque,Diego Pombo Lopez,Relatório da Partida,
10,dom,2020-09-13,20:30,Botafogo (RJ),2.7,2–3,1.9,Vasco da Gama,,Estádio Nilton Santos,Wilton Sampaio,Relatório da Partida,
,,,,,,,,,,,,,
11,qua,2020-09-16,21:30,Corinthians,1.7,3–2,2.6,Bahia,,Arena Corinthians,Wagner do Nascimento Magalhaes,Relatório da Partida,
11,sáb,2020-09-19,19:00,Fortaleza,0.7,1–0,0.6,Internacional,,Estádio Castelão,Marielson Alves Silva,Relatório da Partida,
11,sáb,2020-09-19,19:00,Bragantino,2.9,4–2,0.7,Ceará,,Estádio Nabi Abi Chedid,Jefferson Ferreira de Moraes,Relatório da Partida,
11,dom,2020-09-20,16:00,Coritiba,1.5,1–0,0.5,Vasco da Gama,,Estádio Major Antônio Couto Pereira,Luiz Flávio de Oliveira,Relatório da Partida,
11,dom,2020-09-20,16:00,Grêmio,1.0,1–1,0.4,Palmeiras,,Arena do Grêmio,Rodrigo D'Alonso Ferreira,Relatório da Partida,
11,dom,2020-09-20,18:15,Botafogo (RJ),0.8,0–0,1.5,Santos,,Estádio Nilton Santos,Jose Mendonca da Silva Junior,Relatório da Partida,
11,dom,2020-09-20,20:30,Sport Recife,1.3,1–0,1.9,Fluminense,,Estádio Adelmar da Costa Carvalho,Leandro Pedro Vuaden,Relatório da Partida,
11,sáb,2020-09-19,21:00,Atl Goianiense,1.4,3–4,3.1,Atlético Mineiro,,Estádio Olímpico Pedro Ludovico Teixeira,Edina Alves Batista,Relatório da Partida,
,,,,,,,,,,,,,
12,qua,2020-09-23,21:30,Sport Recife,1.1,1–0,0.9,Corinthians,,Estádio Adelmar da Costa Carvalho,Wilton Sampaio,Relatório da Partida,
12,sáb,2020-09-26,19:00,Atl Paranaense,1.1,1–0,1.3,Bahia,,Estádio Joaquim Américo Guimarães,Ricardo Marques Ribeiro,Relatório da Partida,
12,sáb,2020-09-26,19:00,Internacional,0.2,1–1,1.2,São Paulo,,Estádio José Pinheiro Borba,Marcelo de Lima Henrique,Relatório da Partida,
12,dom,2020-09-27,11:00,Vasco da Gama,1.6,1–1,1.8,Bragantino,,Estádio Club de Regatas Vasco da Gama,Rodolpho Toski Marques,Relatório da Partida,
12,dom,2020-09-27,16:00,Palmeiras,0.9,1–1,1.5,Flamengo,,Allianz Parque,Jean Pierre Goncalves Lima,Relatório da Partida,
12,dom,2020-09-27,18:15,Ceará,1.3,2–2,1.7,Goiás,,Estádio Castelão,Ramon Abatti Abel,Relatório da Partida,
12,dom,2020-09-27,18:15,Atl Goianiense,1.6,1–1,1.7,Botafogo (RJ),,Estádio Olímpico Pedro Ludovico Teixeira,Leandro Pedro Vuaden,Relatório da Partida,
12,dom,2020-09-27,20:30,Santos,1.2,1–1,1.0,Fortaleza,,Estádio Urbano Caldeira,Heber Roberto Lopes,Relatório da Partida,
12,sáb,2020-09-26,21:00,Atlético Mineiro,2.3,3–1,1.6,Grêmio,,Estádio Raimundo Sampaio,Caio Max Augusto Vieira,Relatório da Partida,
12,seg,2020-09-28,20:00,Fluminense,2.5,4–0,1.0,Coritiba,,Estadio Jornalista Mário Filho,Vinicius Gonçalves Dias Araujo,Relatório da Partida,
,,,,,,,,,,,,,
1,qua,2020-09-30,21:30,Corinthians,0.9,0–0,1.6,Atl Goianiense,,Arena Corinthians,Paulo Roberto Alves Júnior,Relatório da Partida,
