Rk;Player;Nation;Pos;Squad;Age;Born;90s;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost
686;Igor Vinícius de Souza;brBRA;DF,FW;São Paulo;24;1997;12.9;2;0;0;16;11;0;57;12;24;0;0;0;58;14;9
687;Bruno Tabata;brBRA;FW;Palmeiras;24;1997;5.2;0;0;0;8;7;0;15;2;5;;;0;;;
688;Tadeu;brBRA;GK;Goiás;29;1992;38.0;0;0;0;0;13;0;0;2;0;0;0;0;23;18;2
689;Tailson;brBRA;FW,DF;Santos;22;1999;0.4;0;0;0;0;0;0;0;1;0;0;0;0;4;0;1
690;Taison;brBRA;MF,FW;Internacional;34;1988;8.1;6;0;0;8;24;3;13;7;7;0;0;0;39;3;9
691;Tchê Tchê;brBRA;MF;Botafogo (RJ);29;1992;25.7;3;0;0;39;43;0;6;27;18;1;0;0;128;7;16
692;David Terans;uyURU;MF;Atl Paranaense;27;1994;22.3;3;0;0;22;23;6;102;5;10;0;0;0;102;6;30
693;Miguel Terceros;boBOL;FW;Santos;17;2004;0.3;0;0;0;0;0;0;2;0;1;0;0;0;1;0;0
694;Thiago;brBRA;GK;São Paulo;22;1999;2.7;1;0;0;1;0;0;0;0;0;0;1;0;0;3;0
695;Guilherme Tinga;brBRA;DF;Fortaleza;28;1993;13.1;3;0;0;15;10;1;28;19;17;0;0;0;86;46;32
696;Titi;brBRA;DF;Fortaleza;33;1988;31.1;2;0;0;54;27;2;2;43;21;0;0;0;173;31;25
697;Igor Torres;brBRA;FW,MF;Fortaleza;21;2000;0.1;1;0;0;2;1;0;1;0;0;0;0;0;1;0;0
698;Jesús Trindade;uyURU;MF;Coritiba;28;1993;14.6;3;0;0;12;7;0;41;10;17;0;0;0;109;12;12
699;Bruno Tubarão;brBRA;FW,MF;Bragantino;26;1995;5.0;0;0;0;5;3;1;26;6;3;0;0;0;16;12;11
700;Uendel;brBRA;DF;Cuiabá;33;1988;14.7;0;0;0;9;7;0;49;10;8;0;0;0;68;21;13
701;Valdemir;brBRA;MF;Coritiba;24;1997;6.9;6;0;0;15;11;0;12;9;12;0;0;0;38;7;6
702;Valdívia;brBRA;MF,FW;Cuiabá;27;1994;15.4;4;1;0;17;26;2;63;8;10;0;0;0;56;16;32
703;Vanderlan;brBRA;DF;Palmeiras;19;2002;7.2;0;0;0;13;8;0;25;18;9;0;0;0;31;4;6
704;Guillermo Varela;uyURU;DF;Flamengo;28;1993;2.9;0;0;0;1;6;0;5;8;4;0;0;0;13;1;5
705;Eduardo Vargas;clCHI;FW;Atlético Mineiro;32;1989;12.7;2;0;0;13;18;6;5;4;6;0;0;0;59;15;19
706;Matheus de Vargas;brBRA;MF;Fortaleza;25;1996;4.6;2;0;0;12;11;3;5;3;2;0;0;0;20;8;12
707;Jhon Vasquez;coCOL;FW,MF;Ceará;26;1995;4.6;2;0;0;9;11;4;18;1;5;0;0;0;14;7;9
708;Rafael Vaz;brBRA;DF;Avaí;33;1988;15.5;2;0;0;8;6;0;8;12;9;0;1;0;65;32;18
709;Raphael Veiga;brBRA;MF;Palmeiras;26;1995;14.0;1;0;0;18;33;4;42;3;10;0;0;0;47;7;9
710;Emiliano Velázquez;uyURU;DF;Santos;27;1994;6.0;0;0;0;3;2;0;1;14;9;0;1;0;28;10;12
711;Fausto Vera;arARG;MF;Corinthians;21;2000;14.5;5;0;0;17;13;0;4;18;22;0;2;0;122;13;16
712;Gabriel Veron;brBRA;FW,MF;Palmeiras;19;2002;6.3;0;0;0;4;6;0;6;6;8;1;0;0;29;3;9
713;João Vialle;brBRA;DF;Atl Paranaense;19;2002;0.3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
714;João Victor;brBRA;MF;Ceará;17;2004;0.2;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1
715;João Victor;brBRA;DF;Corinthians;23;1998;5.4;2;0;0;7;5;0;0;11;2;0;0;0;22;15;7
716;Marcos Victor;brBRA;DF;Ceará;20;2001;4.0;2;0;0;3;4;0;0;8;4;0;0;0;26;3;6
717;Arturo Vidal;clCHI;MF;Flamengo;34;1987;9.3;2;0;0;20;11;0;17;21;16;0;1;0;60;11;9
718;Caio Vidal;brBRA;FW,MF;Internacional;21;2000;1.7;1;0;0;7;9;1;1;3;2;0;0;0;5;1;5
719;Elvis Vieira Araújo;brBRA;MF,FW;Goiás;31;1990;9.4;4;0;0;13;14;0;71;6;4;0;0;0;62;6;3
720;Gabriel Vieira;brBRA;FW;Palmeiras;19;2002;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
721;Luan Vieira;brBRA;MF,FW;Santos;28;1993;5.0;0;0;0;4;15;0;15;1;4;0;0;0;19;1;9
722;Marcos Vinicios Sorriso;brBRA;FW;Bragantino;20;2001;15.0;4;0;0;22;31;1;61;8;15;0;0;0;74;19;46
723;Vinícius;brBRA;FW,MF;Ceará;30;1991;26.7;9;2;2;11;40;6;160;24;3;1;0;0;130;11;15
724;Vinicius;brBRA;MF,DF;Santos;22;1999;0.8;0;0;0;2;2;0;2;1;1;0;0;0;3;2;0
725;Vinícius;brBRA;MF,FW;Goiás;28;1993;21.7;1;0;0;19;19;6;59;14;14;0;0;0;80;16;17
726;Vinícius;brBRA;FW;Botafogo (RJ);22;1999;9.7;3;0;0;19;26;3;10;11;10;0;0;0;45;14;20
727;Vinicius;brBRA;MF;Cuiabá;22;1999;0.1;0;0;0;1;0;0;0;1;0;0;0;0;3;0;1
728;Caio Vinícius;brBRA;MF;Goiás;23;1999;17.3;7;1;0;43;28;2;4;30;23;0;1;0;87;24;27
729;Mateus Vital;brBRA;FW,MF;Corinthians;23;1998;8.2;1;0;0;10;17;2;17;7;13;0;0;0;59;7;13
730;Vitão;brBRA;DF;Internacional;21;2000;31.0;1;0;0;14;5;0;0;19;14;0;0;0;77;55;44
731;Vitinho;brBRA;FW;Atl Paranaense;22;1999;15.9;3;1;1;23;26;6;22;5;11;0;0;0;75;17;38
732;Vitinho;brBRA;FW,MF;Flamengo;28;1993;5.3;1;0;0;13;6;0;8;1;6;0;0;0;21;10;10
