;Class.;Jogador;Nação;Pos.;Equipe;Idade;Nascimento;90s;CrtsA;CrtV;2CrdY;Fts;FltsP;Desativado;Crz;Crts;TklW;Pênaltis convertidos;PKcon;OG;Recuperação;GanhosAereos;PerdasAereos;Ganhos%;Goleiro;Atacante;Lateral;Zagueiro;Tipo
523;524;Pegorari;br BRA;G;Juventude;31;1991;11.7;3;0;0;0;2;0;0;0;0;0.0;0.0;0;10.0;3.0;0.0;100.0;1;0;0;0;Defesa
524;525;Matheus Peixoto;br BRA;AT;Ceará;26;1995;5.2;0;0;0;7;10;4;1;2;3;0.0;0.0;0;9.0;19.0;33.0;36.5;0;1;0;0;Ataque
525;526;Douglas Pelé;br BRA;ZG;Goiás;23;1999;0.5;0;0;0;0;1;0;0;1;1;0.0;0.0;0;1.0;0.0;4.0;0.0;0;0;0;1;Defesa
526;527;Léo Pelé;br BRA;ZG;São Paulo;26;1996;26.6;4;1;0;25;11;0;9;14;15;0.0;1.0;0;105.0;38.0;31.0;55.1;0;0;0;1;Defesa
527;528;Carlos de Pena;uy URU;LTAT;Internacional;30;1992;28.3;6;0;0;28;23;0;166;53;24;0.0;0.0;0;188.0;30.0;30.0;50.0;0;1;1;0;Ataque
528;529;Andreas Pereira;br BRA;LT;Flamengo;26;1996;8.8;2;0;0;14;8;1;51;4;5;0.0;0.0;0;44.0;9.0;8.0;52.9;0;0;1;0;Defesa
529;530;Egídio Pereira Júnior;br BRA;ZGLT;Coritiba;36;1986;13.9;1;1;0;14;18;2;116;20;13;0.0;1.0;0;98.0;11.0;8.0;57.9;0;0;1;1;Defesa
530;531;Léo Pereira;br BRA;ZG;Flamengo;26;1996;11.4;4;0;0;14;8;2;6;11;8;0.0;1.0;0;63.0;23.0;10.0;69.7;0;0;0;1;Defesa
531;532;Hernán Pérez;py PAR;AT;Coritiba;33;1989;1.1;1;0;0;5;2;0;4;0;0;0.0;0.0;0;4.0;2.0;3.0;40.0;0;1;0;0;Ataque
532;533;Lucas Perri;br BRA;G;Botafogo (RJ);24;1997;1.8;1;0;0;0;0;0;0;0;0;0.0;0.0;0;0.0;4.0;0.0;100.0;1;0;0;0;Defesa
