Data;Em casa;Visitante;Relatório da Partida;Season;home_goal;away_goal
2003-01-22;Monaco;Lens;Relatório da Partida;2002;1;1
2003-01-22;Bordeaux;Guingamp;Relatório da Partida;2002;4;2
2003-01-28;Marseille;Nice;Relatório da Partida;2002;2;0
2003-01-29;Nantes;Monaco;Relatório da Partida;2002;0;2
2003-01-29;Guingamp;Le Havre;Relatório da Partida;2002;1;2
2003-01-29;Sochaux;Rennes;Relatório da Partida;2002;1;0
2003-01-29;Bastia;Auxerre;Relatório da Partida;2002;2;0
2003-01-29;Troyes;Bordeaux;Relatório da Partida;2002;0;1
2003-01-29;Sedan;Strasbourg;Relatório da Partida;2002;2;1
2003-01-29;Montpellier;Ajaccio;Relatório da Partida;2002;0;1
2003-01-29;Paris S-G;Lille;Relatório da Partida;2002;1;0
2003-01-29;Lens;Lyon;Relatório da Partida;2002;2;2
2003-02-01;Ajaccio;Bastia;Relatório da Partida;2002;1;1
2003-02-01;Auxerre;Sochaux;Relatório da Partida;2002;2;0
2003-02-01;Lyon;Nantes;Relatório da Partida;2002;0;0
2003-02-01;Le Havre;Troyes;Relatório da Partida;2002;1;0
2003-02-01;Monaco;Sedan;Relatório da Partida;2002;3;0
2003-02-01;Rennes;Lens;Relatório da Partida;2002;1;1
2003-02-01;Strasbourg;Paris S-G;Relatório da Partida;2002;0;1
2003-02-01;Nice;Guingamp;Relatório da Partida;2002;1;0
2003-02-02;Bordeaux;Marseille;Relatório da Partida;2002;3;1
2003-02-04;Monaco;Lyon;Relatório da Partida;2002;2;0
2003-02-05;Lens;Bordeaux;Relatório da Partida;2002;3;3
2003-02-05;Bastia;Paris S-G;Relatório da Partida;2002;1;0
2003-02-05;Troyes;Nice;Relatório da Partida;2002;1;0
2003-02-05;Marseille;Le Havre;Relatório da Partida;2002;2;0
2003-02-05;Nantes;Rennes;Relatório da Partida;2002;1;0
2003-02-05;Montpellier;Strasbourg;Relatório da Partida;2002;2;1
2003-02-05;Sedan;Auxerre;Relatório da Partida;2002;1;2
2003-02-08;Nice;Sochaux;Relatório da Partida;2002;2;2
2003-02-08;Lille;Lens;Relatório da Partida;2002;0;2
2003-02-08;Rennes;Monaco;Relatório da Partida;2002;0;0
2003-02-08;Paris S-G;Montpellier;Relatório da Partida;2002;1;3
2003-02-08;Bordeaux;Bastia;Relatório da Partida;2002;0;2
2003-02-08;Le Havre;Sedan;Relatório da Partida;2002;2;1
2003-02-08;Strasbourg;Guingamp;Relatório da Partida;2002;3;1
2003-02-08;Ajaccio;Marseille;Relatório da Partida;2002;0;2
2003-02-08;Lyon;Troyes;Relatório da Partida;2002;0;0
2003-02-09;Auxerre;Nantes;Relatório da Partida;2002;0;1
2003-02-15;Nantes;Sochaux;Relatório da Partida;2002;0;1
2003-02-19;Troyes;Lille;Relatório da Partida;2002;2;0
2003-02-22;Lyon;Rennes;Relatório da Partida;2002;4;1
2003-02-22;Marseille;Lille;Relatório da Partida;2002;2;0
2003-02-22;Troyes;Strasbourg;Relatório da Partida;2002;1;0
2003-02-22;Sedan;Bordeaux;Relatório da Partida;2002;0;1
2003-02-22;Nantes;Ajaccio;Relatório da Partida;2002;1;0
2003-02-22;Lens;Montpellier;Relatório da Partida;2002;4;0
2003-02-22;Guingamp;Paris S-G;Relatório da Partida;2002;3;2
2003-02-22;Bastia;Nice;Relatório da Partida;2002;1;1
2003-02-22;Sochaux;Le Havre;Relatório da Partida;2002;1;0
2003-02-23;Monaco;Auxerre;Relatório da Partida;2002;3;1
2003-02-28;Nice;Nantes;Relatório da Partida;2002;1;1
2003-03-01;Paris S-G;Troyes;Relatório da Partida;2002;4;2
2003-03-01;Montpellier;Guingamp;Relatório da Partida;2002;2;0
2003-03-01;Strasbourg;Marseille;Relatório da Partida;2002;0;0
2003-03-01;Ajaccio;Lens;Relatório da Partida;2002;0;0
2003-03-01;Le Havre;Bastia;Relatório da Partida;2002;2;0
2003-03-01;Bordeaux;Sochaux;Relatório da Partida;2002;2;0
2003-03-01;Lille;Monaco;Relatório da Partida;2002;1;3
2003-03-01;Rennes;Sedan;Relatório da Partida;2002;1;0
2003-03-02;Auxerre;Lyon;Relatório da Partida;2002;1;2
2003-03-08;Sedan;Guingamp;Relatório da Partida;2002;2;0
2003-03-08;Monaco;Bordeaux;Relatório da Partida;2002;0;1
2003-03-08;Lyon;Ajaccio;Relatório da Partida;2002;3;1
2003-03-08;Rennes;Auxerre;Relatório da Partida;2002;0;0
2003-03-08;Bastia;Strasbourg;Relatório da Partida;2002;1;1
2003-03-08;Sochaux;Lille;Relatório da Partida;2002;2;2
2003-03-08;Nantes;Le Havre;Relatório da Partida;2002;2;0
2003-03-08;Lens;Nice;Relatório da Partida;2002;0;0
2003-03-08;Troyes;Montpellier;Relatório da Partida;2002;0;2
2003-03-09;Marseille;Paris S-G;Relatório da Partida;2002;0;3
2003-03-14;Lens;Nantes;Relatório da Partida;2002;0;1
2003-03-14;Lille;Montpellier;Relatório da Partida;2002;2;0
2003-03-14;Sochaux;Ajaccio;Relatório da Partida;2002;1;1
2003-03-18;Guingamp;Lille;Relatório da Partida;2002;1;0
2003-03-19;Strasbourg;Bordeaux;Relatório da Partida;2002;1;1
2003-03-22;Strasbourg;Sochaux;Relatório da Partida;2002;1;3
2003-03-22;Le Havre;Monaco;Relatório da Partida;2002;0;3
2003-03-22;Ajaccio;Rennes;Relatório da Partida;2002;1;0
2003-03-22;Paris S-G;Sedan;Relatório da Partida;2002;2;0
2003-03-22;Montpellier;Marseille;Relatório da Partida;2002;1;2
2003-03-22;Guingamp;Troyes;Relatório da Partida;2002;2;0
2003-03-22;Auxerre;Lens;Relatório da Partida;2002;0;0
2003-03-22;Lille;Bastia;Relatório da Partida;2002;1;1
2003-03-22;Bordeaux;Nantes;Relatório da Partida;2002;0;0
2003-03-23;Nice;Lyon;Relatório da Partida;2002;0;1
2003-04-05;Rennes;Bordeaux;Relatório da Partida;2002;3;4
2003-04-05;Auxerre;Ajaccio;Relatório da Partida;2002;1;0
2003-04-05;Lyon;Le Havre;Relatório da Partida;2002;2;1
2003-04-05;Lens;Strasbourg;Relatório da Partida;2002;1;1
2003-04-05;Bastia;Troyes;Relatório da Partida;2002;1;1
2003-04-05;Sedan;Montpellier;Relatório da Partida;2002;1;2
2003-04-05;Sochaux;Paris S-G;Relatório da Partida;2002;0;0
2003-04-05;Marseille;Guingamp;Relatório da Partida;2002;0;2
2003-04-05;Nantes;Lille;Relatório da Partida;2002;1;0
2003-04-06;Monaco;Nice;Relatório da Partida;2002;0;1
2003-04-08;Auxerre;Sedan;Relatório da Partida;2002;3;1
2003-04-11;Bordeaux;Lyon;Relatório da Partida;2002;0;1
2003-04-12;Le Havre;Rennes;Relatório da Partida;2002;0;1
2003-04-12;Guingamp;Bastia;Relatório da Partida;2002;3;0
2003-04-12;Ajaccio;Monaco;Relatório da Partida;2002;2;4
2003-04-12;Strasbourg;Nantes;Relatório da Partida;2002;2;0
2003-04-12;Lille;Sedan;Relatório da Partida;2002;0;0
2003-04-12;Nice;Auxerre;Relatório da Partida;2002;1;0
2003-04-12;Paris S-G;Lens;Relatório da Partida;2002;0;1
2003-04-12;Montpellier;Sochaux;Relatório da Partida;2002;0;2
2003-04-12;Troyes;Marseille;Relatório da Partida;2002;0;0
2003-04-19;Ajaccio;Bordeaux;Relatório da Partida;2002;1;6
2003-04-19;Rennes;Nice;Relatório da Partida;2002;2;2
2003-04-19;Sedan;Troyes;Relatório da Partida;2002;4;0
2003-04-19;Bastia;Montpellier;Relatório da Partida;2002;1;2
2003-04-19;Sochaux;Guingamp;Relatório da Partida;2002;0;0
2003-04-19;Auxerre;Le Havre;Relatório da Partida;2002;1;0
2003-04-19;Lyon;Lille;Relatório da Partida;2002;0;0
2003-04-19;Nantes;Paris S-G;Relatório da Partida;2002;1;1
2003-04-20;Lens;Marseille;Relatório da Partida;2002;0;1
2003-04-20;Monaco;Strasbourg;Relatório da Partida;2002;2;0
2003-05-03;Le Havre;Ajaccio;Relatório da Partida;2002;0;1
2003-05-03;Nice;Sedan;Relatório da Partida;2002;0;0
2003-05-03;Bordeaux;Auxerre;Relatório da Partida;2002;0;1
2003-05-03;Guingamp;Lens;Relatório da Partida;2002;1;0
2003-05-03;Strasbourg;Lyon;Relatório da Partida;2002;0;4
2003-05-03;Lille;Rennes;Relatório da Partida;2002;1;0
2003-05-03;Troyes;Sochaux;Relatório da Partida;2002;0;2
2003-05-03;Marseille;Bastia;Relatório da Partida;2002;2;1
2003-05-03;Montpellier;Nantes;Relatório da Partida;2002;1;0
2003-05-04;Paris S-G;Monaco;Relatório da Partida;2002;2;1
2003-05-10;Nantes;Guingamp;Relatório da Partida;2002;0;4
2003-05-10;Rennes;Strasbourg;Relatório da Partida;2002;2;3
2003-05-10;Monaco;Montpellier;Relatório da Partida;2002;3;1
2003-05-10;Ajaccio;Nice;Relatório da Partida;2002;2;0
2003-05-10;Auxerre;Lille;Relatório da Partida;2002;0;0
2003-05-10;Lens;Troyes;Relatório da Partida;2002;1;0
2003-05-10;Sochaux;Marseille;Relatório da Partida;2002;3;0
2003-05-10;Sedan;Bastia;Relatório da Partida;2002;2;2
2003-05-10;Bordeaux;Le Havre;Relatório da Partida;2002;2;0
2003-05-11;Lyon;Paris S-G;Relatório da Partida;2002;1;0
2003-05-20;Nice;Bordeaux;Relatório da Partida;2002;1;1
2003-05-20;Lille;Ajaccio;Relatório da Partida;2002;2;0
2003-05-20;Guingamp;Monaco;Relatório da Partida;2002;3;1
2003-05-20;Bastia;Sochaux;Relatório da Partida;2002;2;2
2003-05-20;Paris S-G;Rennes;Relatório da Partida;2002;0;0
2003-05-20;Le Havre;Lens;Relatório da Partida;2002;1;3
2003-05-20;Montpellier;Lyon;Relatório da Partida;2002;1;1
2003-05-20;Troyes;Nantes;Relatório da Partida;2002;2;0
2003-05-20;Strasbourg;Auxerre;Relatório da Partida;2002;1;2
2003-05-20;Marseille;Sedan;Relatório da Partida;2002;4;2
2003-05-24;Monaco;Troyes;Relatório da Partida;2002;6;0
2003-05-24;Ajaccio;Strasbourg;Relatório da Partida;2002;0;0
2003-05-24;Bordeaux;Lille;Relatório da Partida;2002;2;0
2003-05-24;Le Havre;Nice;Relatório da Partida;2002;2;1
2003-05-24;Nantes;Marseille;Relatório da Partida;2002;1;0
2003-05-24;Lyon;Guingamp;Relatório da Partida;2002;1;4
2003-05-24;Sochaux;Sedan;Relatório da Partida;2002;2;1
2003-05-24;Auxerre;Paris S-G;Relatório da Partida;2002;2;0
2003-05-24;Lens;Bastia;Relatório da Partida;2002;2;0
2003-05-24;Rennes;Montpellier;Relatório da Partida;2002;3;1
2003-08-01;Lille;Lyon;Relatório da Partida;2003;1;0
2003-08-02;Montpellier;Rennes;Relatório da Partida;2003;1;1
2003-08-02;Lens;Le Mans;Relatório da Partida;2003;0;0
2003-08-02;Sochaux;Nantes;Relatório da Partida;2003;2;1
2003-08-02;Paris S-G;Bastia;Relatório da Partida;2003;0;0
2003-08-02;Auxerre;Nice;Relatório da Partida;2003;1;2
2003-08-02;Metz;Ajaccio;Relatório da Partida;2003;0;1
2003-08-02;Toulouse;Strasbourg;Relatório da Partida;2003;1;1
2003-08-02;Guingamp;Marseille;Relatório da Partida;2003;0;1
2003-08-02;Monaco;Bordeaux;Relatório da Partida;2003;2;0
2003-08-08;Marseille;Auxerre;Relatório da Partida;2003;1;0
2003-08-09;Bordeaux;Montpellier;Relatório da Partida;2003;0;1
2003-08-09;Strasbourg;Guingamp;Relatório da Partida;2003;2;0
2003-08-09;Rennes;Toulouse;Relatório da Partida;2003;1;0
2003-08-09;Lille;Paris S-G;Relatório da Partida;2003;1;0
2003-08-09;Lyon;Monaco;Relatório da Partida;2003;3;1
2003-08-09;Nice;Sochaux;Relatório da Partida;2003;1;0
2003-08-09;Nantes;Lens;Relatório da Partida;2003;2;0
2003-08-09;Le Mans;Ajaccio;Relatório da Partida;2003;0;1
