Rodada,Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
Estágio de grupos,5,ter,2021-11-23,20:00 (17:00),Chelsea eng,3.0,4–0,0.7,it Juventus,39.513,Stamford Bridge,Srđan Jovanović,Relatório da Partida,
Estágio de grupos,5,ter,2021-11-23,21:00 (17:00),Barcelona es,1.4,0–0,1.2,pt Benfica,49.572,Camp Nou,Sergey Karasev,Relatório da Partida,
Estágio de grupos,5,ter,2021-11-23,21:00 (17:00),Lille fr,0.7,1–0,0.5,at RB Salzburg,33.573,Stade Pierre-Mauroy,Anthony Taylor,Relatório da Partida,
Estágio de grupos,5,ter,2021-11-23,21:00 (17:00),Young Boys ch,0.7,3–3,1.2,it Atalanta,31.120,Stade de Suisse Wankdorf Bern,Daniel Siebert,Relatório da Partida,
Estágio de grupos,5,ter,2021-11-23,21:00 (17:00),Sevilla es,1.6,2–0,0.3,de Wolfsburg,28.663,Estadio Ramón Sánchez Pizjuán,Cüneyt Çakιr,Relatório da Partida,
Estágio de grupos,5,ter,2021-11-23,21:00 (17:00),Malmö se,0.2,1–1,1.9,ru Zenit,15.520,Swedbank Stadion,Andris Treimanis,Relatório da Partida,
Estágio de grupos,5,qua,2021-11-24,18:45 (14:45),Inter it,2.6,2–0,0.6,ua Shakhtar,46.225,Stadio Giuseppe Meazza,Ovidiu Hațegan,Relatório da Partida,
Estágio de grupos,5,qua,2021-11-24,20:00 (17:00),Manchester City eng,2.1,2–1,1.0,fr Paris S-G,52.030,Etihad Stadium,Daniele Orsato,Relatório da Partida,
Estágio de grupos,5,qua,2021-11-24,20:00 (17:00),Sporting CP pt,1.9,3–1,1.6,de Dortmund,41.341,Estádio José Alvalade,Carlos del Cerro,Relatório da Partida,
Estágio de grupos,5,qua,2021-11-24,20:00 (17:00),Liverpool eng,0.6,2–0,1.1,pt Porto,52.209,Anfield,Felix Zwayer,Relatório da Partida,
Estágio de grupos,5,qua,2021-11-24,20:45 (14:45),Beşiktaş tr,1.9,1–2,2.5,nl Ajax,11.712,Vodafone Arena,Irfan Peljto,Relatório da Partida,
Estágio de grupos,5,qua,2021-11-24,21:00 (17:00),Atlético Madrid es,0.9,0–1,1.3,it Milan,61.019,Estadio Wanda Metropolitano,Slavko Vinčič,Relatório da Partida,
Estágio de grupos,5,qua,2021-11-24,21:00 (17:00),Club Brugge be,0.9,0–5,3.8,de RB Leipzig,24.072,Jan Breydelstadion,Davide Massa,Relatório da Partida,
Estágio de grupos,5,qua,2021-11-24,22:00 (17:00),Sheriff Tiraspol md,1.4,0–3,1.5,es Real Madrid,5.932,Bolshaya Sportivnaya Arena,Szymon Marciniak,Relatório da Partida,
,,,,,,,,,,,,,,
