Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
9,seg,2018-10-22,20:30 (15:30),Sampdoria,1.3,0–0,0.6,Sassuolo,19.064,Stadio Comunale Luigi Ferraris,Francesco Fourneau,Relatório da Partida,
,,,,,,,,,,,,,
10,sáb,2018-10-27,15:00 (10:00),Atalanta,3.3,3–0,0.9,Parma,18.152,Stadio Atleti Azzurri d'Italia,Rosario Abisso,Relatório da Partida,
10,sáb,2018-10-27,18:00 (13:00),Empoli,0.3,1–2,1.7,Juventus,15.889,Stadio Carlo Castellani,Giampaolo Calvarese,Relatório da Partida,
10,sáb,2018-10-27,20:30 (15:30),Torino,0.9,1–1,1.2,Fiorentina,17.871,Stadio Olimpico di Torino,Michael Fabbri,Relatório da Partida,
10,dom,2018-10-28,12:30 (08:30),Sassuolo,2.2,2–2,1.3,Bologna,12.647,Stadio Città del Tricolore,Daniele Doveri,Relatório da Partida,
10,dom,2018-10-28,15:00 (11:00),SPAL,0.9,0–3,1.0,Frosinone,13.676,Stadio Paolo Mazza,Daniele Chiffi,Relatório da Partida,
10,dom,2018-10-28,15:00 (11:00),Genoa,1.7,2–2,0.5,Udinese,18.880,Stadio Comunale Luigi Ferraris,Paolo Mazzoleni,Relatório da Partida,
10,dom,2018-10-28,15:00 (11:00),Cagliari,1.5,2–1,1.2,Chievo,15.805,Sardegna Arena,Marco Piccinini,Relatório da Partida,
10,dom,2018-10-28,18:00 (14:00),Milan,2.0,3–2,0.6,Sampdoria,47.347,Stadio Giuseppe Meazza,Fabio Maresca,Relatório da Partida,
10,dom,2018-10-28,20:30 (16:30),Napoli,2.1,1–1,0.6,Roma,30.037,Stadio San Paolo,Davide Massa,Relatório da Partida,
10,seg,2018-10-29,20:30 (16:30),Lazio,1.4,0–3,1.9,Inter,40.068,Stadio Olimpico,Massimiliano Irrati,Relatório da Partida,
,,,,,,,,,,,,,
1,qua,2018-10-31,20:30 (16:30),Milan,1.4,2–1,0.4,Genoa,46.720,Stadio Giuseppe Meazza,Fabrizio Pasqua,Relatório da Partida,
,,,,,,,,,,,,,
11,sex,2018-11-02,20:30 (16:30),Napoli,2.0,5–1,1.2,Empoli,31.370,Stadio San Paolo,Luca Pairetto,Relatório da Partida,
11,sáb,2018-11-03,15:00 (11:00),Inter,2.9,5–0,0.4,Genoa,67.532,Stadio Giuseppe Meazza,Paolo Valeri,Relatório da Partida,
11,sáb,2018-11-03,18:00 (14:00),Fiorentina,1.3,1–1,1.6,Roma,30.590,Stadio Artemio Franchi,Luca Banti,Relatório da Partida,
11,sáb,2018-11-03,20:30 (16:30),Juventus,1.8,3–1,0.7,Cagliari,40.644,Allianz Stadium,Maurizio Mariani,Relatório da Partida,
11,dom,2018-11-04,12:30 (09:30),Lazio,2.2,4–1,1.2,SPAL,35.573,Stadio Olimpico,Marco Guida,Relatório da Partida,
11,dom,2018-11-04,15:00 (12:00),Sampdoria,1.4,1–4,2.3,Torino,20.364,Stadio Comunale Luigi Ferraris,Gianluca Rocchi,Relatório da Partida,
11,dom,2018-11-04,15:00 (12:00),Parma,0.5,0–0,0.5,Frosinone,14.004,Stadio Ennio Tardini,Gianluca Manganiello,Relatório da Partida,
11,dom,2018-11-04,15:00 (12:00),Chievo,0.3,0–2,0.9,Sassuolo,8.100,Stadio Marc'Antonio Bentegodi,Gianluca Aureliano,Relatório da Partida,
11,dom,2018-11-04,18:00 (15:00),Bologna,1.9,1–2,1.7,Atalanta,19.038,Stadio Renato Dall'Ara,Federico La Penna,Relatório da Partida,
11,dom,2018-11-04,20:30 (17:30),Udinese,0.5,0–1,0.7,Milan,23.540,Dacia Arena,Marco Di Bello,Relatório da Partida,
,,,,,,,,,,,,,
12,sex,2018-11-09,20:30 (17:30),Frosinone,0.4,1–1,2.1,Fiorentina,13.378,Stadio Benito Stirpe,Fabrizio Pasqua,Relatório da Partida,
12,sáb,2018-11-10,15:00 (12:00),Torino,2.6,1–2,1.6,Parma,17.431,Stadio Olimpico di Torino,Davide Massa,Relatório da Partida,
12,sáb,2018-11-10,18:00 (15:00),SPAL,1.7,2–2,1.2,Cagliari,13.250,Stadio Paolo Mazza,Daniele Doveri,Relatório da Partida,
12,sáb,2018-11-10,20:30 (17:30),Genoa,0.7,1–2,1.7,Napoli,25.365,Stadio Comunale Luigi Ferraris,Rosario Abisso,Relatório da Partida,
12,dom,2018-11-11,12:30 (09:30),Atalanta,3.4,4–1,1.4,Inter,20.633,Stadio Atleti Azzurri d'Italia,Fabio Maresca,Relatório da Partida,
12,dom,2018-11-11,15:00 (12:00),Roma,2.7,4–1,0.9,Sampdoria,37.582,Stadio Olimpico,Massimiliano Irrati,Relatório da Partida,
12,dom,2018-11-11,15:00 (12:00),Empoli,1.3,2–1,3.9,Udinese,7.553,Stadio Carlo Castellani,Piero Giacomelli,Relatório da Partida,
12,dom,2018-11-11,15:00 (12:00),Chievo,2.2,2–2,1.6,Bologna,9.500,Stadio Marc'Antonio Bentegodi,Daniele Orsato,Relatório da Partida,
12,dom,2018-11-11,18:00 (15:00),Sassuolo,0.7,1–1,1.6,Lazio,11.317,Stadio Città del Tricolore,Giampaolo Calvarese,Relatório da Partida,
12,dom,2018-11-11,20:30 (17:30),Milan,0.9,0–2,1.3,Juventus,74.729,Stadio Giuseppe Meazza,Paolo Mazzoleni,Relatório da Partida,
,,,,,,,,,,,,,
13,sáb,2018-11-24,15:00 (12:00),Udinese,1.4,1–0,1.3,Roma,21.986,Dacia Arena,Michael Fabbri,Relatório da Partida,
13,sáb,2018-11-24,18:00 (15:00),Juventus,1.6,2–0,0.5,SPAL,41.052,Allianz Stadium,Federico La Penna,Relatório da Partida,
13,sáb,2018-11-24,20:30 (17:30),Inter,2.5,3–0,0.2,Frosinone,63.645,Stadio Giuseppe Meazza,Luca Pairetto,Relatório da Partida,
13,dom,2018-11-25,12:30 (09:30),Parma,2.1,2–1,1.5,Sassuolo,14.354,Stadio Ennio Tardini,Paolo Valeri,Relatório da Partida,
13,dom,2018-11-25,15:00 (12:00),Bologna,0.5,0–0,1.3,Fiorentina,21.241,Stadio Renato Dall'Ara,Marco Di Bello,Relatório da Partida,
13,dom,2018-11-25,15:00 (12:00),Empoli,2.2,3–2,1.9,Atalanta,8.736,Stadio Carlo Castellani,Gianluca Manganiello,Relatório da Partida,
13,dom,2018-11-25,15:00 (12:00),Napoli,1.5,0–0,0.4,Chievo,44.468,Stadio San Paolo,Daniele Chiffi,Relatório da Partida,
13,dom,2018-11-25,18:00 (15:00),Lazio,1.1,1–1,0.5,Milan,38.269,Stadio Olimpico,Luca Banti,Relatório da Partida,
13,dom,2018-11-25,20:30 (17:30),Genoa,2.1,1–1,0.6,Sampdoria,31.756,Stadio Comunale Luigi Ferraris,Daniele Doveri,Relatório da Partida,
13,seg,2018-11-26,20:30 (17:30),Cagliari,0.2,0–0,0.7,Torino,15.804,Sardegna Arena,Fabrizio Pasqua,Relatório da Partida,
,,,,,,,,,,,,,
14,sáb,2018-12-01,15:00 (12:00),SPAL,0.8,2–2,2.1,Empoli,12.622,Stadio Paolo Mazza,Paolo Mazzoleni,Relatório da Partida,
14,sáb,2018-12-01,18:00 (15:00),Fiorentina,1.3,0–3,1.7,Juventus,40.872,Stadio Artemio Franchi,Daniele Orsato,Relatório da Partida,
14,sáb,2018-12-01,20:30 (17:30),Sampdoria,1.3,4–1,1.2,Bologna,17.844,Stadio Comunale Luigi Ferraris,Rosario Abisso,Relatório da Partida,
14,dom,2018-12-02,12:30 (09:30),Milan,1.4,2–1,1.4,Parma,53.275,Stadio Giuseppe Meazza,Giampaolo Calvarese,Relatório da Partida,
14,dom,2018-12-02,15:00 (12:00),Torino,2.2,2–1,1.6,Genoa,15.324,Stadio Olimpico di Torino,Maurizio Mariani,Relatório da Partida,
14,dom,2018-12-02,15:00 (12:00),Sassuolo,1.5,0–0,0.1,Udinese,10.655,Stadio Città del Tricolore,Marco Guida,Relatório da Partida,
14,dom,2018-12-02,15:00 (12:00),Frosinone,1.9,1–1,1.9,Cagliari,12.377,Stadio Benito Stirpe,Marco Serra,Relatório da Partida,
14,dom,2018-12-02,18:00 (15:00),Chievo,1.0,1–1,1.1,Lazio,7.000,Stadio Marc'Antonio Bentegodi,Fabio Maresca,Relatório da Partida,
