Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
17,qua,2010-01-20,,Bologna,2–2,Atalanta,,,Andrea De Marco,Relatório da Partida,
,,,,,,,,,,,
21,sáb,2010-01-23,,Catania,3–0,Parma,,,Andrea Gervasoni,Relatório da Partida,
21,sáb,2010-01-23,,Juventus,1–2,Roma,,,Paolo Tagliavento,Relatório da Partida,
21,dom,2010-01-24,,Inter,2–0,Milan,,,Gianluca Rocchi,Relatório da Partida,
21,dom,2010-01-24,,Udinese,2–3,Sampdoria,,,Carmine Russo,Relatório da Partida,
21,dom,2010-01-24,,Palermo,3–0,Fiorentina,,,Antonio Damato,Relatório da Partida,
21,dom,2010-01-24,,Siena,1–1,Cagliari,,,Dino Tommasi,Relatório da Partida,
21,dom,2010-01-24,,Genoa,2–0,Atalanta,,,Antonio Giannoccaro,Relatório da Partida,
21,dom,2010-01-24,,Livorno,0–2,Napoli,,,Paolo Mazzoleni,Relatório da Partida,
21,dom,2010-01-24,,Bologna,2–1,Bari,,,Gabriele Gava,Relatório da Partida,
21,dom,2010-01-24,,Lazio,1–1,Chievo,,,Christian Brighi,Relatório da Partida,
,,,,,,,,,,,
22,sáb,2010-01-30,,Napoli,0–0,Genoa,,,Emidio Morganti,Relatório da Partida,
22,sáb,2010-01-30,,Bari,4–2,Palermo,,,Andrea De Marco,Relatório da Partida,
22,dom,2010-01-31,,Milan,1–1,Livorno,,,Matteo Trefoloni,Relatório da Partida,
22,dom,2010-01-31,,Sampdoria,2–0,Atalanta,,,Domenico Celi,Relatório da Partida,
22,dom,2010-01-31,,Cagliari,2–2,Fiorentina,,,Paolo Valeri,Relatório da Partida,
22,dom,2010-01-31,,Chievo,1–1,Bologna,,,Marco Guida,Relatório da Partida,
22,dom,2010-01-31,,Roma,2–1,Siena,,,Leonardo Baracani,Relatório da Partida,
22,dom,2010-01-31,,Catania,1–1,Udinese,,,Andrea Romeo,Relatório da Partida,
22,dom,2010-01-31,,Juventus,1–1,Lazio,,,Max Saccani,Relatório da Partida,
,,,,,,,,,,,
23,sáb,2010-02-06,,Palermo,2–1,Parma,,,Nicola Pierpaoli,Relatório da Partida,
