Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
19,ter,2020-12-15,22:00 (18:00),Real Madrid,2.2,3–1,0.8,Athletic Club,,Estadio Alfredo Di Stéfano,Jesús Gil,Relatório da Partida,
19,qua,2020-12-16,21:00 (17:00),Barcelona,2.5,2–1,1.8,Real Sociedad,,Camp Nou,José Sánchez,Relatório da Partida,
,,,,,,,,,,,,,
14,sex,2020-12-18,21:00 (17:00),Athletic Club,1.4,2–0,0.2,Huesca,,San Mamés,Valentín Pizarro,Relatório da Partida,
14,sáb,2020-12-19,14:00 (10:00),Atlético Madrid,2.2,3–1,0.6,Elche,,Estadio Wanda Metropolitano,Javier Estrada,Relatório da Partida,
14,sáb,2020-12-19,16:15 (12:15),Barcelona,2.3,2–2,1.6,Valencia,,Camp Nou,Alejandro Hernández,Relatório da Partida,
14,sáb,2020-12-19,18:30 (14:30),Osasuna,1.0,1–3,2.3,Villarreal,,Estadio El Sadar,Jorge Figueroa,Relatório da Partida,
14,sáb,2020-12-19,18:30 (14:30),Levante,1.8,2–1,1.8,Real Sociedad,,Estadio Ciudad de Valencia,César Soto,Relatório da Partida,
14,sáb,2020-12-19,21:00 (17:00),Sevilla,1.7,1–1,1.0,Valladolid,,Estadio Ramón Sánchez Pizjuán,Jesús Gil,Relatório da Partida,
14,dom,2020-12-20,14:00 (10:00),Celta Vigo,1.6,2–0,0.7,Alavés,,Estadio de Balaídos,Alberola Rojas,Relatório da Partida,
14,dom,2020-12-20,16:15 (12:15),Granada,1.4,2–0,0.8,Betis,,Estadio Nuevo Los Cármenes,José Sánchez,Relatório da Partida,
14,dom,2020-12-20,18:30 (14:30),Cádiz,0.4,0–2,1.0,Getafe,,Estadio Nuevo Mirandilla,Santiago Jaime,Relatório da Partida,
14,dom,2020-12-20,21:00 (17:00),Eibar,0.7,1–3,2.2,Real Madrid,,Estadio Municipal de Ipurúa,José Luis Munuera,Relatório da Partida,
,,,,,,,,,,,,,
15,ter,2020-12-22,17:30 (13:30),Valencia,0.6,0–1,1.8,Sevilla,,Estadio de Mestalla,Valentín Pizarro,Relatório da Partida,
15,ter,2020-12-22,17:30 (13:30),Elche,1.2,2–2,1.6,Osasuna,,Estadio Manuel Martínez Valero,Ricardo de Burgos,Relatório da Partida,
15,ter,2020-12-22,19:45 (15:45),Huesca,1.4,1–1,0.7,Levante,,Estadio El Alcoraz,Isidro Díaz de Mera,Relatório da Partida,
15,ter,2020-12-22,19:45 (15:45),Real Sociedad,0.3,0–2,0.5,Atlético Madrid,,Estadio Municipal de Anoeta,Guillermo Cuadra,Relatório da Partida,
15,ter,2020-12-22,22:00 (18:00),Valladolid,0.8,0–3,3.0,Barcelona,,Estadio Municipal José Zorrilla,Mario Melero,Relatório da Partida,
15,ter,2020-12-22,22:00 (18:00),Villarreal,1.4,1–1,0.8,Athletic Club,,Estadio de la Cerámica,David Medié,Relatório da Partida,
15,qua,2020-12-23,17:30 (13:30),Getafe,0.3,1–1,0.8,Celta Vigo,,Coliseum Alfonso Pérez,Pablo González,Relatório da Partida,
15,qua,2020-12-23,19:45 (15:45),Real Madrid,1.8,2–0,0.8,Granada,,Estadio Alfredo Di Stéfano,Juan Martínez,Relatório da Partida,
15,qua,2020-12-23,22:00 (18:00),Alavés,1.9,2–1,1.0,Eibar,,Estadio de Mendizorroza,Carlos del Cerro,Relatório da Partida,
15,qua,2020-12-23,22:00 (18:00),Betis,0.4,1–0,0.3,Cádiz,,Estadio Benito Villamarín,Antonio Matéu Lahoz,Relatório da Partida,
,,,,,,,,,,,,,
16,ter,2020-12-29,17:00 (13:00),Sevilla,2.2,2–0,0.6,Villarreal,,Estadio Ramón Sánchez Pizjuán,César Soto,Relatório da Partida,
16,ter,2020-12-29,19:15 (15:15),Barcelona,2.2,1–1,0.6,Eibar,,Camp Nou,Alberola Rojas,Relatório da Partida,
16,ter,2020-12-29,21:30 (17:30),Cádiz,0.7,0–0,0.5,Valladolid,,Estadio Nuevo Mirandilla,Alejandro Hernández,Relatório da Partida,
16,ter,2020-12-29,21:30 (17:30),Levante,1.7,4–3,2.8,Betis,,Estadio Ciudad de Valencia,Javier Estrada,Relatório da Partida,
16,qua,2020-12-30,17:00 (13:00),Granada,2.2,2–1,1.5,Valencia,,Estadio Nuevo Los Cármenes,Adrián Cordero,Relatório da Partida,
16,qua,2020-12-30,19:15 (15:15),Celta Vigo,2.3,2–1,1.3,Huesca,,Estadio de Balaídos,José Luis Munuera,Relatório da Partida,
16,qua,2020-12-30,19:15 (15:15),Atlético Madrid,1.1,1–0,0.8,Getafe,,Estadio Wanda Metropolitano,Antonio Matéu Lahoz,Relatório da Partida,
16,qua,2020-12-30,21:30 (17:30),Elche,1.0,1–1,1.4,Real Madrid,,Estadio Manuel Martínez Valero,Jorge Figueroa,Relatório da Partida,
16,qui,2020-12-31,14:00 (10:00),Athletic Club,0.2,0–1,1.6,Real Sociedad,,San Mamés,José Sánchez,Relatório da Partida,
16,qui,2020-12-31,16:15 (12:15),Osasuna,0.4,1–1,1.6,Alavés,,Estadio El Sadar,Santiago Jaime,Relatório da Partida,
,,,,,,,,,,,,,
17,sáb,2021-01-02,14:00 (10:00),Villarreal,1.6,2–1,0.5,Levante,,Estadio de la Cerámica,Pablo González,Relatório da Partida,
17,sáb,2021-01-02,16:15 (12:15),Betis,2.1,1–1,0.2,Sevilla,,Estadio Benito Villamarín,Carlos del Cerro,Relatório da Partida,
17,sáb,2021-01-02,18:30 (14:30),Getafe,0.8,0–1,1.2,Valladolid,,Coliseum Alfonso Pérez,Isidro Díaz de Mera,Relatório da Partida,
17,sáb,2021-01-02,21:00 (17:00),Real Madrid,1.0,2–0,0.7,Celta Vigo,,Estadio Alfredo Di Stéfano,Ricardo de Burgos,Relatório da Partida,
17,dom,2021-01-03,14:00 (10:00),Athletic Club,1.4,1–0,0.2,Elche,,San Mamés,Mario Melero,Relatório da Partida,
17,dom,2021-01-03,16:15 (12:15),Alavés,0.3,1–2,2.2,Atlético Madrid,,Estadio de Mendizorroza,Juan Martínez,Relatório da Partida,
17,dom,2021-01-03,18:30 (14:30),Eibar,1.9,2–0,0.9,Granada,,Estadio Municipal de Ipurúa,Antonio Matéu Lahoz,Relatório da Partida,
17,dom,2021-01-03,18:30 (14:30),Real Sociedad,0.8,1–1,0.8,Osasuna,,Estadio Municipal de Anoeta,Valentín Pizarro,Relatório da Partida,
17,dom,2021-01-03,21:00 (17:00),Huesca,0.8,0–1,3.0,Barcelona,,Estadio El Alcoraz,Guillermo Cuadra,Relatório da Partida,
17,seg,2021-01-04,21:00 (17:00),Valencia,0.8,1–1,0.8,Cádiz,,Estadio de Mestalla,David Medié,Relatório da Partida,
,,,,,,,,,,,,,
2,qua,2021-01-06,21:00 (17:00),Athletic Club,0.6,2–3,1.6,Barcelona,,San Mamés,Carlos del Cerro,Relatório da Partida,
,,,,,,,,,,,,,
18,sex,2021-01-08,21:00 (17:00),Celta Vigo,0.4,0–4,2.7,Villarreal,,Estadio de Balaídos,Javier Estrada,Relatório da Partida,
18,sáb,2021-01-09,14:00 (10:00),Sevilla,2.6,3–2,0.8,Real Sociedad,,Estadio Ramón Sánchez Pizjuán,Alberola Rojas,Relatório da Partida,
18,sáb,2021-01-09,18:30 (14:30),Granada,0.5,0–4,0.9,Barcelona,,Estadio Nuevo Los Cármenes,Ricardo de Burgos,Relatório da Partida,
18,sáb,2021-01-09,21:00 (17:00),Osasuna,0.6,0–0,0.4,Real Madrid,,Estadio El Sadar,César Soto,Relatório da Partida,
18,dom,2021-01-10,14:00 (10:00),Levante,1.0,2–1,1.1,Eibar,,Estadio Ciudad de Valencia,Javier Estrada,Relatório da Partida,
