Data;Em casa;Resultado;Visitante;Relatório da Partida;Season;home_goal;away_goal
2018-01-30;Swansea City;3–1;Arsenal;Relatório da Partida;2017;3;1
2018-01-30;Huddersfield;0–3;Liverpool;Relatório da Partida;2017;0;3
2018-01-31;Southampton;1–1;Brighton;Relatório da Partida;2017;1;1
2018-01-31;Chelsea;0–3;Bournemouth;Relatório da Partida;2017;0;3
2018-01-31;Everton;2–1;Leicester City;Relatório da Partida;2017;2;1
2018-01-31;Newcastle Utd;1–1;Burnley;Relatório da Partida;2017;1;1
2018-01-31;Stoke City;0–0;Watford;Relatório da Partida;2017;0;0
2018-01-31;Manchester City;3–0;West Brom;Relatório da Partida;2017;3;0
2018-01-31;Tottenham;2–0;Manchester Utd;Relatório da Partida;2017;2;0
2018-02-03;Burnley;1–1;Manchester City;Relatório da Partida;2017;1;1
2018-02-03;West Brom;2–3;Southampton;Relatório da Partida;2017;2;3
2018-02-03;Bournemouth;2–1;Stoke City;Relatório da Partida;2017;2;1
2018-02-03;Manchester Utd;2–0;Huddersfield;Relatório da Partida;2017;2;0
2018-02-03;Brighton;3–1;West Ham;Relatório da Partida;2017;3;1
2018-02-03;Leicester City;1–1;Swansea City;Relatório da Partida;2017;1;1
2018-02-03;Arsenal;5–1;Everton;Relatório da Partida;2017;5;1
2018-02-04;Crystal Palace;1–1;Newcastle Utd;Relatório da Partida;2017;1;1
2018-02-04;Liverpool;2–2;Tottenham;Relatório da Partida;2017;2;2
2018-02-05;Watford;4–1;Chelsea;Relatório da Partida;2017;4;1
2018-02-10;Tottenham;1–0;Arsenal;Relatório da Partida;2017;1;0
2018-02-10;Everton;3–1;Crystal Palace;Relatório da Partida;2017;3;1
2018-02-10;Swansea City;1–0;Burnley;Relatório da Partida;2017;1;0
2018-02-10;Stoke City;1–1;Brighton;Relatório da Partida;2017;1;1
2018-02-10;West Ham;2–0;Watford;Relatório da Partida;2017;2;0
2018-02-10;Manchester City;5–1;Leicester City;Relatório da Partida;2017;5;1
2018-02-11;Huddersfield;4–1;Bournemouth;Relatório da Partida;2017;4;1
2018-02-11;Newcastle Utd;1–0;Manchester Utd;Relatório da Partida;2017;1;0
2018-02-11;Southampton;0–2;Liverpool;Relatório da Partida;2017;0;2
2018-02-12;Chelsea;3–0;West Brom;Relatório da Partida;2017;3;0
2018-02-24;Leicester City;1–1;Stoke City;Relatório da Partida;2017;1;1
2018-02-24;West Brom;1–2;Huddersfield;Relatório da Partida;2017;1;2
2018-02-24;Bournemouth;2–2;Newcastle Utd;Relatório da Partida;2017;2;2
2018-02-24;Liverpool;4–1;West Ham;Relatório da Partida;2017;4;1
2018-02-24;Burnley;1–1;Southampton;Relatório da Partida;2017;1;1
2018-02-24;Brighton;4–1;Swansea City;Relatório da Partida;2017;4;1
2018-02-24;Watford;1–0;Everton;Relatório da Partida;2017;1;0
2018-02-25;Crystal Palace;0–1;Tottenham;Relatório da Partida;2017;0;1
2018-02-25;Manchester Utd;2–1;Chelsea;Relatório da Partida;2017;2;1
2018-03-01;Arsenal;0–3;Manchester City;Relatório da Partida;2017;0;3
2018-03-03;Burnley;2–1;Everton;Relatório da Partida;2017;2;1
2018-03-03;Watford;1–0;West Brom;Relatório da Partida;2017;1;0
2018-03-03;Swansea City;4–1;West Ham;Relatório da Partida;2017;4;1
2018-03-03;Leicester City;1–1;Bournemouth;Relatório da Partida;2017;1;1
2018-03-03;Southampton;0–0;Stoke City;Relatório da Partida;2017;0;0
2018-03-03;Tottenham;2–0;Huddersfield;Relatório da Partida;2017;2;0
2018-03-03;Liverpool;2–0;Newcastle Utd;Relatório da Partida;2017;2;0
2018-03-04;Brighton;2–1;Arsenal;Relatório da Partida;2017;2;1
2018-03-04;Manchester City;1–0;Chelsea;Relatório da Partida;2017;1;0
2018-03-05;Crystal Palace;2–3;Manchester Utd;Relatório da Partida;2017;2;3
2018-03-10;Manchester Utd;2–1;Liverpool;Relatório da Partida;2017;2;1
2018-03-10;West Ham;0–3;Burnley;Relatório da Partida;2017;0;3
2018-03-10;Newcastle Utd;3–0;Southampton;Relatório da Partida;2017;3;0
2018-03-10;West Brom;1–4;Leicester City;Relatório da Partida;2017;1;4
2018-03-10;Everton;2–0;Brighton;Relatório da Partida;2017;2;0
2018-03-10;Huddersfield;0–0;Swansea City;Relatório da Partida;2017;0;0
2018-03-10;Chelsea;2–1;Crystal Palace;Relatório da Partida;2017;2;1
2018-03-11;Arsenal;3–0;Watford;Relatório da Partida;2017;3;0
2018-03-11;Bournemouth;1–4;Tottenham;Relatório da Partida;2017;1;4
2018-03-12;Stoke City;0–2;Manchester City;Relatório da Partida;2017;0;2
2018-03-17;Stoke City;1–2;Everton;Relatório da Partida;2017;1;2
2018-03-17;Bournemouth;2–1;West Brom;Relatório da Partida;2017;2;1
2018-03-17;Huddersfield;0–2;Crystal Palace;Relatório da Partida;2017;0;2
2018-03-17;Liverpool;5–0;Watford;Relatório da Partida;2017;5;0
2018-03-31;Crystal Palace;1–2;Liverpool;Relatório da Partida;2017;1;2
2018-03-31;Manchester Utd;2–0;Swansea City;Relatório da Partida;2017;2;0
2018-03-31;Brighton;0–2;Leicester City;Relatório da Partida;2017;0;2
2018-03-31;West Brom;1–2;Burnley;Relatório da Partida;2017;1;2
2018-03-31;West Ham;3–0;Southampton;Relatório da Partida;2017;3;0
2018-03-31;Newcastle Utd;1–0;Huddersfield;Relatório da Partida;2017;1;0
2018-03-31;Watford;2–2;Bournemouth;Relatório da Partida;2017;2;2
2018-03-31;Everton;1–3;Manchester City;Relatório da Partida;2017;1;3
2018-04-01;Arsenal;3–0;Stoke City;Relatório da Partida;2017;3;0
2018-04-01;Chelsea;1–3;Tottenham;Relatório da Partida;2017;1;3
2018-04-07;Everton;0–0;Liverpool;Relatório da Partida;2017;0;0
2018-04-07;Stoke City;1–2;Tottenham;Relatório da Partida;2017;1;2
2018-04-07;Leicester City;1–2;Newcastle Utd;Relatório da Partida;2017;1;2
2018-04-07;Watford;1–2;Burnley;Relatório da Partida;2017;1;2
2018-04-07;Brighton;1–1;Huddersfield;Relatório da Partida;2017;1;1
2018-04-07;Bournemouth;2–2;Crystal Palace;Relatório da Partida;2017;2;2
2018-04-07;West Brom;1–1;Swansea City;Relatório da Partida;2017;1;1
2018-04-07;Manchester City;2–3;Manchester Utd;Relatório da Partida;2017;2;3
2018-04-08;Arsenal;3–2;Southampton;Relatório da Partida;2017;3;2
2018-04-08;Chelsea;1–1;West Ham;Relatório da Partida;2017;1;1
2018-04-14;Southampton;2–3;Chelsea;Relatório da Partida;2017;2;3
2018-04-14;Crystal Palace;3–2;Brighton;Relatório da Partida;2017;3;2
2018-04-14;Huddersfield;1–0;Watford;Relatório da Partida;2017;1;0
2018-04-14;Burnley;2–1;Leicester City;Relatório da Partida;2017;2;1
2018-04-14;Swansea City;1–1;Everton;Relatório da Partida;2017;1;1
2018-04-14;Liverpool;3–0;Bournemouth;Relatório da Partida;2017;3;0
2018-04-14;Tottenham;1–3;Manchester City;Relatório da Partida;2017;1;3
2018-04-15;Newcastle Utd;2–1;Arsenal;Relatório da Partida;2017;2;1
2018-04-15;Manchester Utd;0–1;West Brom;Relatório da Partida;2017;0;1
2018-04-16;West Ham;1–1;Stoke City;Relatório da Partida;2017;1;1
2018-04-17;Brighton;1–1;Tottenham;Relatório da Partida;2017;1;1
2018-04-18;Bournemouth;0–2;Manchester Utd;Relatório da Partida;2017;0;2
2018-04-19;Burnley;1–2;Chelsea;Relatório da Partida;2017;1;2
2018-04-19;Leicester City;0–0;Southampton;Relatório da Partida;2017;0;0
2018-04-21;West Brom;2–2;Liverpool;Relatório da Partida;2017;2;2
2018-04-21;Watford;0–0;Crystal Palace;Relatório da Partida;2017;0;0
2018-04-22;Arsenal;4–1;West Ham;Relatório da Partida;2017;4;1
2018-04-22;Stoke City;1–1;Burnley;Relatório da Partida;2017;1;1
2018-04-22;Manchester City;5–0;Swansea City;Relatório da Partida;2017;5;0
2018-04-23;Everton;1–0;Newcastle Utd;Relatório da Partida;2017;1;0
2018-04-28;Liverpool;0–0;Stoke City;Relatório da Partida;2017;0;0
2018-04-28;Newcastle Utd;0–1;West Brom;Relatório da Partida;2017;0;1
