Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
12,sex,2019-11-01,20:45 (16:45),Dijon,1.0,2–1,3.2,Paris S-G,14.859,Stade Gaston Gérard,Ruddy Buquet,Relatório da Partida,
12,sáb,2019-11-02,17:30 (13:30),Marseille,0.7,2–1,0.4,Lille,53.321,Orange Vélodrome,Hakim Ben El Hadj Salem,Relatório da Partida,
12,sáb,2019-11-02,20:00 (16:00),Toulouse,1.3,2–3,1.8,Lyon,16.225,Stadium Municipal,Karim Abed,Relatório da Partida,
12,sáb,2019-11-02,20:00 (16:00),Amiens,1.4,1–0,0.9,Brest,12.246,Stade de la Licorne,Franck Schneider,Relatório da Partida,
12,sáb,2019-11-02,20:00 (16:00),Metz,1.9,2–2,1.0,Montpellier,14.644,Stade Saint-Symphorien,Stéphanie Frappart,Relatório da Partida,
12,sáb,2019-11-02,20:00 (16:00),Angers,1.2,1–0,1.2,Strasbourg,9.681,Stade Raymond Kopa,Florent Batta,Relatório da Partida,
12,dom,2019-11-03,15:00 (11:00),Bordeaux,1.0,2–0,0.7,Nantes,19.545,Stade Matmut-Atlantique,François Letexier,Relatório da Partida,
12,dom,2019-11-03,17:00 (13:00),Nice,1.0,2–0,0.8,Reims,15.468,Stade de Nice,Jeremy Stinat,Relatório da Partida,
12,dom,2019-11-03,21:00 (17:00),Saint-Étienne,1.7,1–0,1.0,Monaco,15.685,Stade Geoffroy-Guichard,Jérôme Brisard,Relatório da Partida,
,,,,,,,,,,,,,
13,sex,2019-11-08,20:45 (16:45),Nice,1.5,1–1,1.7,Bordeaux,16.173,Stade de Nice,Johan Hamel,Relatório da Partida,
13,sáb,2019-11-09,17:30 (13:30),Brest,1.1,1–2,2.4,Paris S-G,15.144,Stade Francis-Le Blé,Mikael Lesage,Relatório da Partida,
13,sáb,2019-11-09,20:00 (16:00),Monaco,2.0,1–0,1.2,Dijon,5.223,Stade Louis II.,Eric Wattellier,Relatório da Partida,
13,sáb,2019-11-09,20:00 (16:00),Reims,0.5,0–0,1.0,Angers,10.876,Stade Auguste-Delaune II,Hakim Ben El Hadj Salem,Relatório da Partida,
13,sáb,2019-11-09,20:00 (16:00),Lille,1.4,0–0,0.1,Metz,33.425,Stade Pierre-Mauroy,Florent Batta,Relatório da Partida,
13,sáb,2019-11-09,20:00 (16:00),Strasbourg,3.5,4–1,0.5,Nîmes,24.745,Stade de la Meinau,Ruddy Buquet,Relatório da Partida,
13,dom,2019-11-10,15:00 (11:00),Rennes,3.4,3–1,0.8,Amiens,20.677,Roazhon Park,Benoît Bastien,Relatório da Partida,
13,dom,2019-11-10,17:00 (13:00),Nantes,0.9,2–3,0.9,Saint-Étienne,34.191,Stade de la Beaujoire - Louis Fonteneau,Clément Turpin,Relatório da Partida,
13,dom,2019-11-10,17:00 (13:00),Montpellier,1.0,3–0,0.3,Toulouse,12.734,Stade de la Mosson,Thomas Léonard,Relatório da Partida,
13,dom,2019-11-10,21:00 (17:00),Marseille,1.2,2–1,1.1,Lyon,65.421,Orange Vélodrome,Antony Gautier,Relatório da Partida,
,,,,,,,,,,,,,
14,sex,2019-11-22,20:45 (16:45),Paris S-G,2.6,2–0,1.0,Lille,47.476,Parc des Princes,Willy Delajod,Relatório da Partida,
14,sáb,2019-11-23,17:30 (13:30),Lyon,1.3,2–1,1.7,Nice,49.401,Groupama Stadium,Amaury Delerue,Relatório da Partida,
14,sáb,2019-11-23,20:00 (16:00),Metz,1.1,1–1,1.8,Reims,14.445,Stade Saint-Symphorien,Antony Gautier,Relatório da Partida,
14,sáb,2019-11-23,20:00 (16:00),Angers,1.1,1–0,0.6,Nîmes,8.714,Stade Raymond Kopa,Thomas Léonard,Relatório da Partida,
14,sáb,2019-11-23,20:00 (16:00),Amiens,0.3,0–4,2.0,Strasbourg,10.358,Stade de la Licorne,Alain Bieri,Relatório da Partida,
14,sáb,2019-11-23,20:00 (16:00),Brest,1.0,1–1,1.5,Nantes,14.232,Stade Francis-Le Blé,Ruddy Buquet,Relatório da Partida,
14,sáb,2019-11-23,20:00 (16:00),Dijon,1.3,2–1,0.9,Rennes,12.084,Stade Gaston Gérard,Jérôme Brisard,Relatório da Partida,
14,dom,2019-11-24,15:00 (11:00),Bordeaux,1.6,2–1,1.7,Monaco,34.554,Stade Matmut-Atlantique,Benoît Millot,Relatório da Partida,
14,dom,2019-11-24,17:00 (13:00),Saint-Étienne,0.5,0–0,1.0,Montpellier,24.336,Stade Geoffroy-Guichard,Franck Schneider,Relatório da Partida,
14,dom,2019-11-24,21:00 (17:00),Toulouse,0.9,0–2,1.6,Marseille,23.002,Stadium Municipal,François Letexier,Relatório da Partida,
,,,,,,,,,,,,,
15,sex,2019-11-29,20:45 (16:45),Marseille,5.0,2–1,0.7,Brest,50.014,Orange Vélodrome,Johan Hamel,Relatório da Partida,
15,sáb,2019-11-30,17:30 (13:30),Strasbourg,0.5,1–2,0.7,Lyon,25.455,Stade de la Meinau,Mikael Lesage,Relatório da Partida,
15,sáb,2019-11-30,20:00 (16:00),Nice,1.2,3–1,0.6,Angers,15.814,Stade de Nice,Antony Gautier,Relatório da Partida,
15,sáb,2019-11-30,20:00 (16:00),Montpellier,1.5,4–2,1.0,Amiens,11.744,Stade de la Mosson,Jérémie Pignard,Relatório da Partida,
15,sáb,2019-11-30,20:00 (16:00),Lille,1.7,1–0,0.8,Dijon,40.074,Stade Pierre-Mauroy,Jeremy Stinat,Relatório da Partida,
15,sáb,2019-11-30,20:00 (16:00),Nîmes,0.7,1–1,0.8,Metz,12.180,Stade des Costières,Hakim Ben El Hadj Salem,Relatório da Partida,
15,sáb,2019-11-30,20:00 (16:00),Reims,1.4,1–1,0.3,Bordeaux,12.949,Stade Auguste-Delaune II,Jérôme Brisard,Relatório da Partida,
15,dom,2019-12-01,15:00 (11:00),Nantes,2.8,2–1,1.1,Toulouse,13.751,Stade de la Beaujoire - Louis Fonteneau,Florent Batta,Relatório da Partida,
15,dom,2019-12-01,17:00 (13:00),Rennes,1.4,2–1,0.5,Saint-Étienne,26.738,Roazhon Park,Eric Wattellier,Relatório da Partida,
,,,,,,,,,,,,,
16,ter,2019-12-03,19:00 (15:00),Brest,2.0,5–0,0.8,Strasbourg,12.437,Stade Francis-Le Blé,Jérôme Brisard,Relatório da Partida,
16,ter,2019-12-03,19:00 (15:00),Angers,0.7,0–2,1.8,Marseille,12.455,Stade Raymond Kopa,Franck Schneider,Relatório da Partida,
16,ter,2019-12-03,19:00 (15:00),Bordeaux,1.7,6–0,0.3,Nîmes,12.419,Stade Matmut-Atlantique,Clément Turpin,Relatório da Partida,
16,ter,2019-12-03,21:05 (17:05),Lyon,0.8,0–1,0.9,Lille,42.535,Groupama Stadium,Ruddy Buquet,Relatório da Partida,
16,qua,2019-12-04,19:00 (15:00),Saint-Étienne,2.7,4–1,1.2,Nice,20.138,Stade Geoffroy-Guichard,Thomas Léonard,Relatório da Partida,
16,qua,2019-12-04,19:00 (15:00),Dijon,1.5,2–2,1.1,Montpellier,11.926,Stade Gaston Gérard,François Letexier,Relatório da Partida,
16,qua,2019-12-04,19:00 (15:00),Metz,0.9,0–1,1.1,Rennes,14.214,Stade Saint-Symphorien,Karim Abed,Relatório da Partida,
16,qua,2019-12-04,19:00 (15:00),Toulouse,1.8,1–2,4.3,Monaco,13.030,Stadium Municipal,Willy Delajod,Relatório da Partida,
16,qua,2019-12-04,21:05 (17:05),Paris S-G,1.9,2–0,0.6,Nantes,47.485,Parc des Princes,Amaury Delerue,Relatório da Partida,
,,,,,,,,,,,,,
17,sex,2019-12-06,19:00 (15:00),Lille,2.6,1–0,0.3,Brest,32.682,Stade Pierre-Mauroy,Eric Wattellier,Relatório da Partida,
17,sex,2019-12-06,20:45 (16:45),Nîmes,0.2,0–4,3.2,Lyon,12.801,Stade des Costières,Olivier Thual,Relatório da Partida,
17,sáb,2019-12-07,17:30 (13:30),Montpellier,0.4,1–3,1.2,Paris S-G,20.197,Stade de la Mosson,Antony Gautier,Relatório da Partida,
17,sáb,2019-12-07,20:00 (16:00),Strasbourg,2.3,4–2,1.7,Toulouse,23.634,Stade de la Meinau,Johan Hamel,Relatório da Partida,
17,sáb,2019-12-07,20:00 (16:00),Monaco,2.4,3–0,0.4,Amiens,4.203,Stade Louis II.,Jeremy Stinat,Relatório da Partida,
17,sáb,2019-12-07,20:00 (16:00),Nice,1.6,4–1,1.7,Metz,14.967,Stade de Nice,Jérémie Pignard,Relatório da Partida,
17,sáb,2019-12-07,20:00 (16:00),Rennes,1.2,2–1,0.8,Angers,25.656,Roazhon Park,Amaury Delerue,Relatório da Partida,
17,dom,2019-12-08,15:00 (11:00),Reims,1.2,3–1,0.6,Saint-Étienne,14.512,Stade Auguste-Delaune II,Stéphanie Frappart,Relatório da Partida,
17,dom,2019-12-08,17:00 (13:00),Nantes,1.2,1–0,0.5,Dijon,16.001,Stade de la Beaujoire - Louis Fonteneau,Hakim Ben El Hadj Salem,Relatório da Partida,
17,dom,2019-12-08,21:00 (17:00),Marseille,1.9,3–1,0.1,Bordeaux,52.079,Orange Vélodrome,Mikael Lesage,Relatório da Partida,
,,,,,,,,,,,,,
18,sex,2019-12-13,20:45 (16:45),Lille,2.0,2–1,1.3,Montpellier,30.170,Stade Pierre-Mauroy,Jérôme Brisard,Relatório da Partida,
18,sáb,2019-12-14,17:30 (13:30),Metz,1.1,1–1,1.8,Marseille,20.586,Stade Saint-Symphorien,Willy Delajod,Relatório da Partida,
18,sáb,2019-12-14,20:00 (16:00),Angers,1.1,0–0,0.4,Monaco,9.959,Stade Raymond Kopa,Hakim Ben El Hadj Salem,Relatório da Partida,
18,sáb,2019-12-14,20:00 (16:00),Brest,2.0,0–0,1.2,Nice,13.042,Stade Francis-Le Blé,Franck Schneider,Relatório da Partida,
