Rodada,Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
Temporada regular,11,sáb,2017-10-28,20:00 (16:00),Dijon,0.4,1–0,1.1,Nantes,11.764,Stade Gaston Gérard,Hakim Ben El Hadj Salem,Relatório da Partida,
Temporada regular,11,sáb,2017-10-28,20:00 (16:00),Montpellier,0.9,0–1,0.6,Rennes,11.790,Stade de la Mosson,Benoît Bastien,Relatório da Partida,
Temporada regular,11,sáb,2017-10-28,20:00 (16:00),Guingamp,0.9,1–1,0.3,Amiens,13.809,Stade du Roudourou,Karim Abed,Relatório da Partida,
Temporada regular,11,sáb,2017-10-28,20:00 (16:00),Caen,0.6,1–0,1.1,Troyes,16.908,Stade Michel d'Ornano,Jérôme Miguelgorry,Relatório da Partida,
Temporada regular,11,sáb,2017-10-28,20:00 (16:00),Strasbourg,2.0,2–2,0.7,Angers,25.011,Stade de la Meinau,Amaury Delerue,Relatório da Partida,
Temporada regular,11,dom,2017-10-29,15:00 (12:00),Lyon,1.1,2–0,0.6,Metz,53.921,Groupama Stadium,Benoît Millot,Relatório da Partida,
Temporada regular,11,dom,2017-10-29,17:00 (14:00),Toulouse,0.7,0–0,1.0,Saint-Étienne,15.062,Stadium Municipal,Jérôme Brisard,Relatório da Partida,
Temporada regular,11,dom,2017-10-29,21:00 (18:00),Lille,1.0,0–1,0.8,Marseille,43.948,Stade Pierre-Mauroy,François Letexier,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,12,sex,2017-11-03,20:45 (17:45),Rennes,0.6,1–0,0.4,Bordeaux,24.547,Roazhon Park,Ruddy Buquet,Relatório da Partida,
Temporada regular,12,sáb,2017-11-04,17:00 (14:00),Angers,0.5,0–5,2.5,Paris S-G,12.381,Stade Raymond Kopa,Benoît Bastien,Relatório da Partida,
Temporada regular,12,sáb,2017-11-04,20:00 (17:00),Montpellier,1.0,1–1,0.5,Amiens,10.149,Stade de la Mosson,Stéphane Jochem,Relatório da Partida,
Temporada regular,12,sáb,2017-11-04,20:00 (17:00),Nantes,0.7,2–1,0.8,Toulouse,21.390,Stade de la Beaujoire - Louis Fonteneau,Antony Gautier,Relatório da Partida,
Temporada regular,12,sáb,2017-11-04,20:00 (17:00),Monaco,2.7,6–0,0.5,Guingamp,7.066,Stade Louis II.,Mikael Lesage,Relatório da Partida,
Temporada regular,12,sáb,2017-11-04,20:00 (17:00),Troyes,2.5,3–0,0.7,Strasbourg,10.260,Stade de l'Aube,Thomas Léonard,Relatório da Partida,
Temporada regular,12,dom,2017-11-05,15:00 (12:00),Nice,1.3,1–0,0.6,Dijon,18.987,Stade de Nice,Olivier Thual,Relatório da Partida,
Temporada regular,12,dom,2017-11-05,17:00 (14:00),Metz,2.2,0–3,1.5,Lille,12.506,Stade Saint-Symphorien,Jérôme Brisard,Relatório da Partida,
Temporada regular,12,dom,2017-11-05,17:00 (14:00),Marseille,3.9,5–0,1.0,Caen,47.687,Orange Vélodrome,Nicolas Rainville,Relatório da Partida,
Temporada regular,12,dom,2017-11-05,21:00 (18:00),Saint-Étienne,1.2,0–5,2.4,Lyon,38.993,Stade Geoffroy-Guichard,Clément Turpin,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,13,sex,2017-11-17,19:00 (16:00),Lille,0.7,3–1,1.4,Saint-Étienne,28.019,Stade Pierre-Mauroy,Johan Hamel,Relatório da Partida,
Temporada regular,13,sex,2017-11-17,20:45 (17:45),Amiens,1.1,1–1,1.0,Monaco,9.198,Stade de la Licorne,Jérôme Miguelgorry,Relatório da Partida,
Temporada regular,13,sáb,2017-11-18,17:00 (14:00),Paris S-G,1.9,4–1,1.0,Nantes,47.680,Parc des Princes,Nicolas Rainville,Relatório da Partida,
Temporada regular,13,sáb,2017-11-18,20:00 (17:00),Strasbourg,1.3,2–1,0.9,Rennes,22.707,Stade de la Meinau,Tony Chapron,Relatório da Partida,
Temporada regular,13,sáb,2017-11-18,20:00 (17:00),Dijon,1.4,3–1,1.1,Troyes,10.227,Stade Gaston Gérard,Franck Schneider,Relatório da Partida,
Temporada regular,13,sáb,2017-11-18,20:00 (17:00),Guingamp,1.2,1–1,0.5,Angers,13.849,Stade du Roudourou,Jérôme Brisard,Relatório da Partida,
Temporada regular,13,sáb,2017-11-18,20:00 (17:00),Toulouse,2.1,0–0,0.8,Metz,15.656,Stadium Municipal,Hakim Ben El Hadj Salem,Relatório da Partida,
Temporada regular,13,dom,2017-11-19,15:00 (12:00),Caen,2.0,1–1,1.3,Nice,15.144,Stade Michel d'Ornano,Sébastien Desiage,Relatório da Partida,
Temporada regular,13,dom,2017-11-19,17:00 (14:00),Lyon,0.7,0–0,0.9,Montpellier,47.651,Groupama Stadium,Karim Abed,Relatório da Partida,
Temporada regular,13,dom,2017-11-19,21:00 (18:00),Bordeaux,0.4,1–1,1.4,Marseille,37.356,Stade Matmut-Atlantique,Benoît Millot,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,8,seg,2017-11-20,19:00 (16:00),Amiens,1.2,3–0,0.5,Lille,9.015,Stade de la Licorne,Mikael Lesage,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,14,sex,2017-11-24,20:45 (17:45),Saint-Étienne,1.7,2–2,1.6,Strasbourg,21.282,Stade Geoffroy-Guichard,Benoît Bastien,Relatório da Partida,
Temporada regular,14,sáb,2017-11-25,17:00 (14:00),Rennes,1.3,2–1,1.2,Nantes,26.151,Roazhon Park,Ruddy Buquet,Relatório da Partida,
Temporada regular,14,sáb,2017-11-25,20:00 (17:00),Caen,1.0,1–0,1.2,Bordeaux,15.275,Stade Michel d'Ornano,Karim Abed,Relatório da Partida,
Temporada regular,14,sáb,2017-11-25,20:00 (17:00),Troyes,1.2,3–0,0.4,Angers,8.906,Stade de l'Aube,Hakim Ben El Hadj Salem,Relatório da Partida,
Temporada regular,14,sáb,2017-11-25,20:00 (17:00),Dijon,0.9,3–1,1.9,Toulouse,10.126,Stade Gaston Gérard,Stéphane Jochem,Relatório da Partida,
Temporada regular,14,sáb,2017-11-25,20:00 (17:00),Metz,1.5,0–2,1.1,Amiens,15.079,Stade Saint-Symphorien,Antony Gautier,Relatório da Partida,
Temporada regular,14,sáb,2017-11-25,20:00 (17:00),Montpellier,1.9,3–0,0.4,Lille,11.370,Stade de la Mosson,Thomas Léonard,Relatório da Partida,
Temporada regular,14,dom,2017-11-26,15:00 (12:00),Nice,0.4,0–5,2.4,Lyon,27.542,Stade de Nice,Franck Schneider,Relatório da Partida,
Temporada regular,14,dom,2017-11-26,17:00 (14:00),Marseille,2.1,1–0,0.2,Guingamp,43.563,Orange Vélodrome,Amaury Delerue,Relatório da Partida,
Temporada regular,14,dom,2017-11-26,21:00 (18:00),Monaco,0.4,1–2,4.2,Paris S-G,16.588,Stade Louis II.,François Letexier,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,15,ter,2017-11-28,19:00 (16:00),Amiens,0.8,2–1,1.2,Dijon,8.693,Stade de la Licorne,Karim Abed,Relatório da Partida,
Temporada regular,15,ter,2017-11-28,19:00 (16:00),Strasbourg,0.5,0–0,1.8,Caen,22.175,Stade de la Meinau,Stéphane Jochem,Relatório da Partida,
Temporada regular,15,ter,2017-11-28,21:00 (18:00),Bordeaux,0.9,3–0,1.0,Saint-Étienne,21.115,Stade Matmut-Atlantique,Mikael Lesage,Relatório da Partida,
Temporada regular,15,qua,2017-11-29,19:00 (16:00),Lyon,3.1,1–2,1.0,Lille,31.679,Groupama Stadium,Jérôme Miguelgorry,Relatório da Partida,
Temporada regular,15,qua,2017-11-29,19:00 (16:00),Angers,0.5,1–2,1.0,Rennes,10.364,Stade Raymond Kopa,Nicolas Rainville,Relatório da Partida,
Temporada regular,15,qua,2017-11-29,19:00 (16:00),Toulouse,2.0,1–2,1.4,Nice,10.348,Stadium Municipal,Johan Hamel,Relatório da Partida,
Temporada regular,15,qua,2017-11-29,19:00 (16:00),Metz,0.4,0–3,2.2,Marseille,18.046,Stade Saint-Symphorien,Tony Chapron,Relatório da Partida,
Temporada regular,15,qua,2017-11-29,19:00 (16:00),Guingamp,0.5,0–0,0.4,Montpellier,13.578,Stade du Roudourou,Olivier Thual,Relatório da Partida,
Temporada regular,15,qua,2017-11-29,19:00 (16:00),Nantes,0.8,1–0,0.5,Monaco,24.800,Stade de la Beaujoire - Louis Fonteneau,Benoît Millot,Relatório da Partida,
Temporada regular,15,qua,2017-11-29,21:00 (18:00),Paris S-G,1.6,2–0,0.4,Troyes,40.920,Parc des Princes,Jérôme Brisard,Relatório da Partida,
,,,,,,,,,,,,,,
Temporada regular,16,sex,2017-12-01,20:45 (17:45),Dijon,2.2,3–2,1.3,Bordeaux,10.631,Stade Gaston Gérard,Benoît Bastien,Relatório da Partida,
Temporada regular,16,sáb,2017-12-02,17:00 (14:00),Strasbourg,0.3,2–1,3.1,Paris S-G,25.327,Stade de la Meinau,Ruddy Buquet,Relatório da Partida,
Temporada regular,16,sáb,2017-12-02,20:00 (17:00),Troyes,1.0,0–1,0.7,Guingamp,9.149,Stade de l'Aube,Sébastien Desiage,Relatório da Partida,
Temporada regular,16,sáb,2017-12-02,20:00 (17:00),Nice,1.9,3–1,0.5,Metz,16.383,Stade de Nice,Mikael Lesage,Relatório da Partida,
Temporada regular,16,sáb,2017-12-02,20:00 (17:00),Rennes,1.5,2–0,0.3,Amiens,23.051,Roazhon Park,Thomas Léonard,Relatório da Partida,
Temporada regular,16,sáb,2017-12-02,20:00 (17:00),Monaco,0.3,1–0,0.8,Angers,6.545,Stade Louis II.,Antony Gautier,Relatório da Partida,
Temporada regular,16,sáb,2017-12-02,20:00 (17:00),Lille,0.7,1–0,1.2,Toulouse,29.287,Stade Pierre-Mauroy,Benoît Millot,Relatório da Partida,
