Rodada,Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas,,
Temporada regular,8,dom,2021-09-26,13:00 (08:00),Bordeaux,0.8,1–1,2.1,Rennes,16675,Stade Matmut-Atlantique,Hakim Ben El Hadj Salem,Relatório da Partida,,,
Temporada regular,8,dom,2021-09-26,15:00 (10:00),Troyes,1.4,1–1,1.3,Angers,6868,Stade de l'Aube,Thomas Léonard,Relatório da Partida,,,
Temporada regular,8,dom,2021-09-26,15:00 (10:00),Brest,1.4,1–2,0.5,Metz,10398,Stade Francis-Le Blé,Willy Delajod,Relatório da Partida,,,
Temporada regular,8,dom,2021-09-26,15:00 (10:00),Reims,1.0,3–1,0.8,Nantes,280,Stade Auguste-Delaune II,Eric Wattellier,Relatório da Partida,,,
Temporada regular,8,dom,2021-09-26,17:00 (12:00),Clermont Foot,1.3,1–3,1.8,Monaco,11529,Stade Gabriel Montpied,Benoît Millot,Relatório da Partida,,,
Temporada regular,8,dom,2021-09-26,20:45 (15:45),Marseille,1.9,2–3,1.9,Lens,50001,Orange Vélodrome,Mikael Lesage,Relatório da Partida,,,
,,,,,,,,,,,,,,,,
Temporada regular,9,sex,2021-10-01,21:00 (16:00),Lens,2.4,2–0,0.2,Reims,,Stade Bollaert-Delelis,Benoît Bastien,Relatório da Partida,,,
Temporada regular,9,sáb,2021-10-02,17:00 (12:00),Montpellier,1.0,1–1,0.4,Strasbourg,9851,Stade de la Mosson,Hakim Ben El Hadj Salem,Relatório da Partida,,,
Temporada regular,9,sáb,2021-10-02,21:00 (16:00),Nice,4.0,2–1,0.6,Brest,13503,Stade de Nice,António Nobre,Relatório da Partida,,,
Temporada regular,9,dom,2021-10-03,13:00 (08:00),Rennes,1.0,2–0,1.6,Paris S-G,28092,Roazhon Park,Ruddy Buquet,Relatório da Partida,,,
Temporada regular,9,dom,2021-10-03,15:00 (10:00),Lorient,0.7,1–1,1.2,Clermont Foot,12611,Stade Yves Allainmat - Le Moustoir,Pierre Gaillouste,Relatório da Partida,,,
