Rodada,Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
Temporada regular,11,sáb,2016-10-29,17:00 (13:00),Toulouse,1–2,Lyon,24.141,Stadium Municipal,Benoît Millot,Relatório da Partida,
Temporada regular,11,sáb,2016-10-29,20:00 (16:00),Lorient,2–2,Montpellier,9.872,Stade Yves Allainmat - Le Moustoir,Jérôme Miguelgorry,Relatório da Partida,
Temporada regular,11,sáb,2016-10-29,20:00 (16:00),Saint-Étienne,1–1,Monaco,35.890,Stade Geoffroy-Guichard,Ruddy Buquet,Relatório da Partida,
Temporada regular,11,sáb,2016-10-29,20:00 (16:00),Nancy,2–0,Caen,16.896,Stade Marcel Picot,Tony Chapron,Relatório da Partida,
Temporada regular,11,sáb,2016-10-29,20:00 (16:00),Guingamp,1–0,Angers,15.277,Stade du Roudourou,Sébastien Desiage,Relatório da Partida,
Temporada regular,11,sáb,2016-10-29,20:00 (16:00),Bastia,0–0,Dijon,10.048,Stade Armand Césari,Lionel Jaffredo,Relatório da Partida,
Temporada regular,11,dom,2016-10-30,15:00 (12:00),Nice,4–1,Nantes,24.418,Stade de Nice,Sébastien Moreira,Relatório da Partida,
Temporada regular,11,dom,2016-10-30,17:00 (14:00),Rennes,1–0,Metz,20.874,Roazhon Park,Saïd Ennjimi,Relatório da Partida,
Temporada regular,11,dom,2016-10-30,20:45 (17:45),Marseille,0–0,Bordeaux,57.091,Orange Vélodrome,Nicolas Rainville,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,12,sex,2016-11-04,20:45 (17:45),Montpellier,3–1,Marseille,18.451,Stade de la Mosson,Antony Gautier,Relatório da Partida,
Temporada regular,12,sáb,2016-11-05,17:00 (14:00),Monaco,6–0,Nancy,5.539,Stade Louis II.,François Letexier,Relatório da Partida,
Temporada regular,12,sáb,2016-11-05,20:00 (17:00),Bordeaux,2–1,Lorient,16.332,Stade Matmut-Atlantique,Karim Abed,Relatório da Partida,
Temporada regular,12,sáb,2016-11-05,20:00 (17:00),Nantes,1–1,Toulouse,21.138,Stade de la Beaujoire - Louis Fonteneau,Mikael Lesage,Relatório da Partida,
Temporada regular,12,sáb,2016-11-05,20:00 (17:00),Lyon,2–1,Bastia,33.886,Groupama Stadium,Franck Schneider,Relatório da Partida,
Temporada regular,12,sáb,2016-11-05,20:00 (17:00),Angers,1–0,Lille,9.750,Stade Raymond Kopa,Clément Turpin,Relatório da Partida,
Temporada regular,12,sáb,2016-11-05,20:00 (17:00),Dijon,3–3,Guingamp,7.954,Stade Gaston Gérard,Stéphane Lannoy,Relatório da Partida,
Temporada regular,12,dom,2016-11-06,15:00 (12:00),Caen,1–0,Nice,16.225,Stade Michel d'Ornano,Johan Hamel,Relatório da Partida,
Temporada regular,12,dom,2016-11-06,17:00 (14:00),Metz,0–0,Saint-Étienne,16.204,Stade Saint-Symphorien,Bartolomeu Varela,Relatório da Partida,
Temporada regular,12,dom,2016-11-06,20:45 (17:45),Paris S-G,4–0,Rennes,42.002,Parc des Princes,Amaury Delerue,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,13,sex,2016-11-18,19:00 (16:00),Lorient,0–3,Monaco,9.574,Stade Yves Allainmat - Le Moustoir,Frédy Fautrel,Relatório da Partida,
Temporada regular,13,sex,2016-11-18,20:45 (17:45),Lille,0–1,Lyon,28.660,Stade Pierre-Mauroy,Jérôme Miguelgorry,Relatório da Partida,
Temporada regular,13,sáb,2016-11-19,17:00 (14:00),Paris S-G,2–0,Nantes,44.258,Parc des Princes,François Letexier,Relatório da Partida,
Temporada regular,13,sáb,2016-11-19,20:00 (17:00),Bastia,1–1,Montpellier,10.189,Stade Armand Césari,Sébastien Moreira,Relatório da Partida,
Temporada regular,13,sáb,2016-11-19,20:00 (17:00),Rennes,1–1,Angers,23.142,Roazhon Park,Benoît Bastien,Relatório da Partida,
Temporada regular,13,sáb,2016-11-19,20:00 (17:00),Nancy,1–0,Dijon,16.341,Stade Marcel Picot,Olivier Thual,Relatório da Partida,
Temporada regular,13,sáb,2016-11-19,20:00 (17:00),Toulouse,1–2,Metz,17.746,Stadium Municipal,Sébastien Desiage,Relatório da Partida,
Temporada regular,13,dom,2016-11-20,15:00 (12:00),Guingamp,1–1,Bordeaux,15.381,Stade du Roudourou,Tony Chapron,Relatório da Partida,
Temporada regular,13,dom,2016-11-20,17:00 (14:00),Marseille,1–0,Caen,36.008,Orange Vélodrome,Stéphane Lannoy,Relatório da Partida,
Temporada regular,13,dom,2016-11-20,20:45 (17:45),Saint-Étienne,0–1,Nice,30.004,Stade Geoffroy-Guichard,Franck Schneider,Relatório da Partida,
,,,,,,,,,,,,
Temporada regular,14,sex,2016-11-25,20:45 (17:45),Rennes,1–0,Toulouse,17.016,Roazhon Park,Frédy Fautrel,Relatório da Partida,
Temporada regular,14,sáb,2016-11-26,17:10 (14:10),Monaco,4–0,Marseille,14.089,Stade Louis II.,Clément Turpin,Relatório da Partida,
Temporada regular,14,sáb,2016-11-26,20:00 (17:00),Montpellier,0–0,Nancy,9.463,Stade de la Mosson,Karim Abed,Relatório da Partida,
Temporada regular,14,sáb,2016-11-26,20:00 (17:00),Caen,1–1,Guingamp,14.902,Stade Michel d'Ornano,Amaury Delerue,Relatório da Partida,
Temporada regular,14,sáb,2016-11-26,20:00 (17:00),Bordeaux,3–2,Dijon,16.354,Stade Matmut-Atlantique,Bartolomeu Varela,Relatório da Partida,
