Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
11,dom,2004-10-24,,Toulouse,1–0,Lille,,Stadium,Patrick Lhermite,Relatório da Partida,
11,dom,2004-10-24,,Lens,0–0,Marseille,,Stade Bollaert,Damien Ledentu,Relatório da Partida,
11,dom,2004-10-24,,Bastia,1–1,Sochaux,,Stade Armand Cesari,Pascal Garibian,Relatório da Partida,
11,dom,2004-10-24,,Monaco,0–0,Auxerre,,Stade Louis II,Alain Hamer,Relatório da Partida,
,,,,,,,,,,,
12,sex,2004-10-29,,Marseille,1–1,Monaco,,Orange Vélodrome,Bertrand Layec,Relatório da Partida,
12,sáb,2004-10-30,,Metz,2–0,Bastia,,Stade Saint,Laurent Duhamel,Relatório da Partida,
12,sáb,2004-10-30,,Sochaux,2–0,Toulouse,,Stade Bonal,Éric Poulat,Relatório da Partida,
12,sáb,2004-10-30,,Rennes,1–1,Caen,,ROAZHON PARK,Stéphane Lannoy,Relatório da Partida,
12,sáb,2004-10-30,,Bordeaux,1–1,Lens,,Stade Chaban,Philippe Kalt,Relatório da Partida,
12,sáb,2004-10-30,,Auxerre,1–1,Paris S-G,,Stade Abbé Deschamps,Alain Sars,Relatório da Partida,
12,sáb,2004-10-30,,Ajaccio,1–1,Nantes,,Stade François Coty,Tony Chapron,Relatório da Partida,
12,sáb,2004-10-30,,Lyon,1–0,Strasbourg,,Stade Municipal de Gerland,Thierry Auriac,Relatório da Partida,
12,sáb,2004-10-30,,Lille,1–0,Saint-Étienne,,Stadium Lille Métropole,Pascal Viléo,Relatório da Partida,
12,sáb,2004-10-30,,Nice,0–0,Istres,,Allianz Riviera,Stéphane Moulin,Relatório da Partida,
,,,,,,,,,,,
13,sáb,2004-11-06,,Bastia,1–1,Rennes,,Stade Armand Cesari,Olivier Thual,Relatório da Partida,
13,sáb,2004-11-06,,Monaco,2–2,Ajaccio,,Stade Louis II,Bruno Ruffray,Relatório da Partida,
13,sáb,2004-11-06,,Caen,0–2,Sochaux,,Stade Michel d'Ornano,Dominique Fraise,Relatório da Partida,
13,sáb,2004-11-06,,Saint-Étienne,2–1,Nice,,Stade Geoffroy,Damien Ledentu,Relatório da Partida,
13,sáb,2004-11-06,,Strasbourg,1–0,Bordeaux,,Stade de la Meinau,Pascal Garibian,Relatório da Partida,
13,sáb,2004-11-06,,Toulouse,1–1,Metz,,Stadium,Claude Colombo,Relatório da Partida,
13,sáb,2004-11-06,,Lens,0–1,Lyon,,Stade Bollaert,Pascal Viléo,Relatório da Partida,
13,dom,2004-11-07,,Nantes,1–1,Auxerre,,Stade de la Beaujoire,Fredy Fautrel,Relatório da Partida,
13,dom,2004-11-07,,Paris S-G,2–1,Marseille,,Parc des Princes,Gilles Veissière,Relatório da Partida,
13,dom,2004-11-07,,Istres,0–2,Lille,,Stade des Costières,Bruno Derrien,Relatório da Partida,
,,,,,,,,,,,
14,sáb,2004-11-13,,Sochaux,1–1,Istres,,Stade Bonal,Hervé Piccirillo,Relatório da Partida,
