Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
14,dom,2010-11-21,,Blackburn,2–0,Aston Villa,,,Michael Oliver,Relatório da Partida,
14,seg,2010-11-22,,Sunderland,2–2,Everton,,,Peter Walton,Relatório da Partida,
,,,,,,,,,,,
15,sáb,2010-11-27,,Bolton,2–2,Blackpool,,,Mike Dean,Relatório da Partida,
15,sáb,2010-11-27,,Everton,1–4,West Brom,,,Lee Mason,Relatório da Partida,
15,sáb,2010-11-27,,Stoke City,1–1,Manchester City,,,Peter Walton,Relatório da Partida,
15,sáb,2010-11-27,,Aston Villa,2–4,Arsenal,,,Mark Clattenburg,Relatório da Partida,
15,sáb,2010-11-27,,West Ham,3–1,Wigan Athletic,,,Mark Halsey,Relatório da Partida,
15,sáb,2010-11-27,,Fulham,1–1,Birmingham City,,,Howard Webb,Relatório da Partida,
15,sáb,2010-11-27,,Manchester Utd,7–1,Blackburn,,,Lee Probert,Relatório da Partida,
15,sáb,2010-11-27,,Wolves,3–2,Sunderland,,,Mike Jones,Relatório da Partida,
15,dom,2010-11-28,,Newcastle Utd,1–1,Chelsea,,,Andre Marriner,Relatório da Partida,
15,dom,2010-11-28,,Tottenham,2–1,Liverpool,,,Martin Atkinson,Relatório da Partida,
,,,,,,,,,,,
16,sáb,2010-12-04,,Arsenal,2–1,Fulham,,,Chris Foy,Relatório da Partida,
16,sáb,2010-12-04,,Chelsea,1–1,Everton,,,Lee Probert,Relatório da Partida,
16,sáb,2010-12-04,,Wigan Athletic,2–2,Stoke City,,,Mike Jones,Relatório da Partida,
16,sáb,2010-12-04,,Birmingham City,1–1,Tottenham,,,Kevin Friend,Relatório da Partida,
16,sáb,2010-12-04,,Manchester City,1–0,Bolton,,,Andre Marriner,Relatório da Partida,
16,sáb,2010-12-04,,Blackburn,3–0,Wolves,,,Howard Webb,Relatório da Partida,
16,dom,2010-12-05,,West Brom,3–1,Newcastle Utd,,,Mike Dean,Relatório da Partida,
16,dom,2010-12-05,,Sunderland,1–0,West Ham,,,Martin Atkinson,Relatório da Partida,
16,seg,2010-12-06,,Liverpool,3–0,Aston Villa,,,Phil Dowd,Relatório da Partida,
,,,,,,,,,,,
17,sáb,2010-12-11,,Stoke City,0–1,Blackpool,,,Anthony Taylor,Relatório da Partida,
17,sáb,2010-12-11,,Aston Villa,2–1,West Brom,,,Mark Halsey,Relatório da Partida,
17,sáb,2010-12-11,,West Ham,1–3,Manchester City,,,Phil Dowd,Relatório da Partida,
17,sáb,2010-12-11,,Newcastle Utd,3–1,Liverpool,,,Lee Mason,Relatório da Partida,
17,sáb,2010-12-11,,Everton,0–0,Wigan Athletic,,,Michael Oliver,Relatório da Partida,
17,sáb,2010-12-11,,Fulham,0–0,Sunderland,,,Neil Swarbrick,Relatório da Partida,
17,dom,2010-12-12,,Bolton,2–1,Blackburn,,,Mark Clattenburg,Relatório da Partida,
17,dom,2010-12-12,,Tottenham,1–1,Chelsea,,,Mike Dean,Relatório da Partida,
17,dom,2010-12-12,,Wolves,1–0,Birmingham City,,,Martin Atkinson,Relatório da Partida,
17,seg,2010-12-13,,Manchester Utd,1–0,Arsenal,,,Howard Webb,Relatório da Partida,
,,,,,,,,,,,
18,sáb,2010-12-18,,Blackburn,1–1,West Ham,,,Mike Dean,Relatório da Partida,
18,sáb,2010-12-18,,Sunderland,1–0,Bolton,,,Chris Foy,Relatório da Partida,
18,seg,2010-12-20,,Manchester City,1–2,Everton,,,Peter Walton,Relatório da Partida,
,,,,,,,,,,,
19,dom,2010-12-26,,Bolton,2–0,West Brom,,,Howard Webb,Relatório da Partida,
19,dom,2010-12-26,,Wolves,1–2,Wigan Athletic,,,Mike Dean,Relatório da Partida,
19,dom,2010-12-26,,Manchester Utd,2–0,Sunderland,,,Phil Dowd,Relatório da Partida,
19,dom,2010-12-26,,Blackburn,0–2,Stoke City,,,Mike Jones,Relatório da Partida,
19,dom,2010-12-26,,Fulham,1–3,West Ham,,,Mark Halsey,Relatório da Partida,
19,dom,2010-12-26,,Newcastle Utd,1–3,Manchester City,,,Chris Foy,Relatório da Partida,
19,dom,2010-12-26,,Aston Villa,1–2,Tottenham,,,Martin Atkinson,Relatório da Partida,
19,seg,2010-12-27,,Arsenal,3–1,Chelsea,,,Mark Clattenburg,Relatório da Partida,
,,,,,,,,,,,
20,ter,2010-12-28,,Tottenham,2–0,Newcastle Utd,,,Anthony Taylor,Relatório da Partida,
20,ter,2010-12-28,,Birmingham City,1–1,Manchester Utd,,,Lee Mason,Relatório da Partida,
20,ter,2010-12-28,,Stoke City,0–2,Fulham,,,Kevin Friend,Relatório da Partida,
20,ter,2010-12-28,,West Brom,1–3,Blackburn,,,Phil Dowd,Relatório da Partida,
20,ter,2010-12-28,,Manchester City,4–0,Aston Villa,,,Michael Oliver,Relatório da Partida,
20,ter,2010-12-28,,Sunderland,0–2,Blackpool,,,Andre Marriner,Relatório da Partida,
20,ter,2010-12-28,,West Ham,1–1,Everton,,,Howard Webb,Relatório da Partida,
20,qua,2010-12-29,,Chelsea,1–0,Bolton,,,Mike Jones,Relatório da Partida,
20,qua,2010-12-29,,Liverpool,0–1,Wolves,,,Peter Walton,Relatório da Partida,
20,qua,2010-12-29,,Wigan Athletic,2–2,Arsenal,,,Lee Probert,Relatório da Partida,
,,,,,,,,,,,
21,sáb,2011-01-01,,Sunderland,3–0,Blackburn,,,Mike Dean,Relatório da Partida,
21,sáb,2011-01-01,,Manchester City,1–0,Blackpool,,,Mark Clattenburg,Relatório da Partida,
21,sáb,2011-01-01,,Tottenham,1–0,Fulham,,,Mike Jones,Relatório da Partida,
21,sáb,2011-01-01,,Birmingham City,0–3,Arsenal,,,Peter Walton,Relatório da Partida,
21,sáb,2011-01-01,,West Ham,2–0,Wolves,,,Lee Probert,Relatório da Partida,
21,sáb,2011-01-01,,Stoke City,2–0,Everton,,,Andre Marriner,Relatório da Partida,
21,sáb,2011-01-01,,Liverpool,2–1,Bolton,,,Kevin Friend,Relatório da Partida,
21,sáb,2011-01-01,,West Brom,1–2,Manchester Utd,,,Chris Foy,Relatório da Partida,
21,dom,2011-01-02,,Wigan Athletic,0–1,Newcastle Utd,,,Howard Webb,Relatório da Partida,
21,dom,2011-01-02,,Chelsea,3–3,Aston Villa,,,Lee Mason,Relatório da Partida,
,,,,,,,,,,,
22,ter,2011-01-04,,Manchester Utd,2–1,Stoke City,,,Mark Clattenburg,Relatório da Partida,
22,ter,2011-01-04,,Blackpool,1–2,Birmingham City,,,Jon Moss,Relatório da Partida,
22,ter,2011-01-04,,Fulham,3–0,West Brom,,,Martin Atkinson,Relatório da Partida,
22,qua,2011-01-05,,Blackburn,3–1,Liverpool,,,Andre Marriner,Relatório da Partida,
22,qua,2011-01-05,,Aston Villa,0–1,Sunderland,,,Peter Walton,Relatório da Partida,
22,qua,2011-01-05,,Arsenal,0–0,Manchester City,,,Mike Jones,Relatório da Partida,
22,qua,2011-01-05,,Everton,2–1,Tottenham,,,Lee Probert,Relatório da Partida,
22,qua,2011-01-05,,Wolves,1–0,Chelsea,,,Mark Halsey,Relatório da Partida,
22,qua,2011-01-05,,Bolton,1–1,Wigan Athletic,,,Phil Dowd,Relatório da Partida,
22,qua,2011-01-05,,Newcastle Utd,5–0,West Ham,,,Mike Dean,Relatório da Partida,
,,,,,,,,,,,
19,qua,2011-01-12,,Blackpool,2–1,Liverpool,,,Michael Oliver,Relatório da Partida,
,,,,,,,,,,,
23,sáb,2011-01-15,,West Brom,3–2,Blackpool,,,Stuart Attwell,Relatório da Partida,
23,sáb,2011-01-15,,Manchester City,4–3,Wolves,,,Lee Mason,Relatório da Partida,
23,sáb,2011-01-15,,Chelsea,2–0,Blackburn,,,Martin Atkinson,Relatório da Partida,
23,sáb,2011-01-15,,Stoke City,2–0,Bolton,,,Michael Oliver,Relatório da Partida,
23,sáb,2011-01-15,,Wigan Athletic,1–1,Fulham,,,Anthony Taylor,Relatório da Partida,
23,sáb,2011-01-15,,West Ham,0–3,Arsenal,,,Andre Marriner,Relatório da Partida,
23,dom,2011-01-16,,Sunderland,1–1,Newcastle Utd,,,Howard Webb,Relatório da Partida,
23,dom,2011-01-16,,Birmingham City,1–1,Aston Villa,,,Mark Clattenburg,Relatório da Partida,
23,dom,2011-01-16,,Liverpool,2–2,Everton,,,Phil Dowd,Relatório da Partida,
23,dom,2011-01-16,,Tottenham,0–0,Manchester Utd,,,Mike Dean,Relatório da Partida,
,,,,,,,,,,,
24,sáb,2011-01-22,,Newcastle Utd,1–1,Tottenham,,,Mark Halsey,Relatório da Partida,
24,sáb,2011-01-22,,Wolves,0–3,Liverpool,,,Martin Atkinson,Relatório da Partida,
24,sáb,2011-01-22,,Aston Villa,1–0,Manchester City,,,Howard Webb,Relatório da Partida,
24,sáb,2011-01-22,,Blackpool,1–2,Sunderland,,,Lee Mason,Relatório da Partida,
24,sáb,2011-01-22,,Arsenal,3–0,Wigan Athletic,,,Kevin Friend,Relatório da Partida,
24,sáb,2011-01-22,,Fulham,2–0,Stoke City,,,Stuart Attwell,Relatório da Partida,
24,sáb,2011-01-22,,Manchester Utd,5–0,Birmingham City,,,Mike Jones,Relatório da Partida,
24,sáb,2011-01-22,,Everton,2–2,West Ham,,,Peter Walton,Relatório da Partida,
24,dom,2011-01-23,,Blackburn,2–0,West Brom,,,Mark Clattenburg,Relatório da Partida,
24,seg,2011-01-24,,Bolton,0–4,Chelsea,,,Chris Foy,Relatório da Partida,
,,,,,,,,,,,
16,ter,2011-01-25,,Blackpool,2–3,Manchester Utd,,,Peter Walton,Relatório da Partida,
,,,,,,,,,,,
18,ter,2011-01-25,,Wigan Athletic,1–2,Aston Villa,,,Jon Moss,Relatório da Partida,
18,qua,2011-01-26,,Liverpool,1–0,Fulham,,,Lee Probert,Relatório da Partida,
,,,,,,,,,,,
25,ter,2011-02-01,,Sunderland,2–4,Chelsea,,,Mark Halsey,Relatório da Partida,
25,ter,2011-02-01,,West Brom,2–2,Wigan Athletic,,,Phil Dowd,Relatório da Partida,
25,ter,2011-02-01,,Arsenal,2–1,Everton,,,Lee Mason,Relatório da Partida,
25,ter,2011-02-01,,Manchester Utd,3–1,Aston Villa,,,Chris Foy,Relatório da Partida,
25,qua,2011-02-02,,Birmingham City,2–2,Manchester City,,,Kevin Friend,Relatório da Partida,
25,qua,2011-02-02,,Bolton,1–0,Wolves,,,Peter Walton,Relatório da Partida,
25,qua,2011-02-02,,Fulham,1–0,Newcastle Utd,,,Mike Jones,Relatório da Partida,
25,qua,2011-02-02,,Blackburn,0–1,Tottenham,,,Andre Marriner,Relatório da Partida,
25,qua,2011-02-02,,Liverpool,2–0,Stoke City,,,Anthony Taylor,Relatório da Partida,
25,qua,2011-02-02,,Blackpool,1–3,West Ham,,,Stuart Attwell,Relatório da Partida,
,,,,,,,,,,,
26,sáb,2011-02-05,,Newcastle Utd,4–4,Arsenal,,,Phil Dowd,Relatório da Partida,
26,sáb,2011-02-05,,Wigan Athletic,4–3,Blackburn,,,Mike Dean,Relatório da Partida,
