
Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
17,sáb,2015-12-19,15:00 (13:00),Southampton,0–2,Tottenham,31.636,St. Mary's Stadium,Kevin Friend,Relatório da Partida,
17,sáb,2015-12-19,15:00 (13:00),Everton,2–3,Leicester City,39.570,Goodison Park,Jonathan Moss,Relatório da Partida,
17,sáb,2015-12-19,15:00 (13:00),Chelsea,3–1,Sunderland,41.562,Stamford Bridge,Roger East,Relatório da Partida,
17,sáb,2015-12-19,15:00 (13:00),Manchester Utd,1–2,Norwich City,75.320,Old Trafford,Michael Oliver,Relatório da Partida,
17,sáb,2015-12-19,17:30 (15:30),Newcastle Utd,1–1,Aston Villa,48.234,St. James' Park,Martin Atkinson,Relatório da Partida,
17,dom,2015-12-20,13:30 (11:30),Watford,3–0,Liverpool,20.707,Vicarage Road Stadium,Mark Clattenburg,Relatório da Partida,
17,dom,2015-12-20,16:00 (14:00),Swansea City,0–0,West Ham,20.661,Liberty Stadium,Lee Mason,Relatório da Partida,
17,seg,2015-12-21,20:00 (18:00),Arsenal,2–1,Manchester City,60.053,Emirates Stadium,Andre Marriner,Relatório da Partida,
,,,,,,,,,,,
18,sáb,2015-12-26,12:45 (10:45),Stoke City,2–0,Manchester Utd,27.426,Bet365 Stadium,Kevin Friend,Relatório da Partida,
18,sáb,2015-12-26,15:00 (13:00),Bournemouth,0–0,Crystal Palace,11.218,Vitality Stadium,Michael Oliver,Relatório da Partida,
18,sáb,2015-12-26,15:00 (13:00),Tottenham,3–0,Norwich City,35.198,White Hart Lane,Mike Jones,Relatório da Partida,
18,sáb,2015-12-26,15:00 (13:00),Manchester City,4–1,Sunderland,54.523,Etihad Stadium,Anthony Taylor,Relatório da Partida,
18,sáb,2015-12-26,15:00 (13:00),Swansea City,1–0,West Brom,20.789,Liberty Stadium,Roger East,Relatório da Partida,
18,sáb,2015-12-26,15:00 (13:00),Liverpool,1–0,Leicester City,44.123,Anfield,Martin Atkinson,Relatório da Partida,
18,sáb,2015-12-26,15:00 (13:00),Chelsea,2–2,Watford,41.620,Stamford Bridge,Andre Marriner,Relatório da Partida,
18,sáb,2015-12-26,15:00 (13:00),Aston Villa,1–1,West Ham,38.193,Villa Park,Mike Dean,Relatório da Partida,
18,sáb,2015-12-26,17:30 (15:30),Newcastle Utd,0–1,Everton,51.682,St. James' Park,Lee Mason,Relatório da Partida,
18,sáb,2015-12-26,19:45 (17:45),Southampton,4–0,Arsenal,31.669,St. Mary's Stadium,Jonathan Moss,Relatório da Partida,
,,,,,,,,,,,
19,seg,2015-12-28,15:00 (13:00),Watford,1–2,Tottenham,20.730,Vicarage Road Stadium,Anthony Taylor,Relatório da Partida,
19,seg,2015-12-28,15:00 (13:00),West Brom,1–0,Newcastle Utd,26.313,The Hawthorns,Mike Jones,Relatório da Partida,
19,seg,2015-12-28,15:00 (13:00),Everton,3–4,Stoke City,39.340,Goodison Park,Mark Clattenburg,Relatório da Partida,
19,seg,2015-12-28,15:00 (13:00),Norwich City,2–0,Aston Villa,27.071,Carrow Road,Graham Scott,Relatório da Partida,
19,seg,2015-12-28,15:00 (13:00),Crystal Palace,0–0,Swansea City,23.714,Selhurst Park,Niel Swarbrick,Relatório da Partida,
19,seg,2015-12-28,17:30 (15:30),West Ham,2–1,Southampton,34.977,Boleyn Ground,Michael Oliver,Relatório da Partida,
19,seg,2015-12-28,17:30 (15:30),Arsenal,2–0,Bournemouth,59.983,Emirates Stadium,Roger East,Relatório da Partida,
19,seg,2015-12-28,17:30 (15:30),Manchester Utd,0–0,Chelsea,75.275,Old Trafford,Martin Atkinson,Relatório da Partida,
19,ter,2015-12-29,19:45 (17:45),Leicester City,0–0,Manchester City,32.072,King Power Stadium,Craig Pawson,Relatório da Partida,
19,qua,2015-12-30,19:45 (17:45),Sunderland,0–1,Liverpool,45.765,Stadium of Light,Kevin Friend,Relatório da Partida,
,,,,,,,,,,,
20,sáb,2016-01-02,12:45 (10:45),West Ham,2–0,Liverpool,34.977,Boleyn Ground,Robert Madley,Relatório da Partida,
20,sáb,2016-01-02,15:00 (13:00),Norwich City,1–0,Southampton,27.022,Carrow Road,Mark Clattenburg,Relatório da Partida,
20,sáb,2016-01-02,15:00 (13:00),Manchester Utd,2–1,Swansea City,75.415,Old Trafford,Jonathan Moss,Relatório da Partida,
20,sáb,2016-01-02,15:00 (13:00),Arsenal,1–0,Newcastle Utd,59.257,Emirates Stadium,Anthony Taylor,Relatório da Partida,
20,sáb,2016-01-02,15:00 (13:00),West Brom,2–1,Stoke City,23.218,The Hawthorns,Lee Mason,Relatório da Partida,
20,sáb,2016-01-02,15:00 (13:00),Sunderland,3–1,Aston Villa,41.535,Stadium of Light,Craig Pawson,Relatório da Partida,
20,sáb,2016-01-02,15:00 (13:00),Leicester City,0–0,Bournemouth,32.006,King Power Stadium,Andre Marriner,Relatório da Partida,
20,sáb,2016-01-02,17:30 (15:30),Watford,1–2,Manchester City,20.676,Vicarage Road Stadium,Martin Atkinson,Relatório da Partida,
