Name;Nationality;Pos.;Team;Age;Year;MP;MS;Min.;90s;Goals;Assis.;G-PB;PB;PT;Ycard;Rcard
Jack Stephens;eng ENG;ZG;Southampton;28-342;1994;2;0;46;0.5;0;0;0;0;0;0;0
Jack Stephens;eng ENG;ZG;Bournemouth;28-342;1994;3;1;93;1.0;0;0;0;0;0;0;0
Raheem Sterling;eng ENG;AT,LT;Chelsea;28-027;1994;14;13;1108;12.3;4;2;4;0;0;3;0
John Stones;eng ENG;ZG;Manchester City;28-221;1994;11;10;911;10.1;0;2;0;0;0;1;0
Pascal Struijk;nl NED;ZG;Leeds United;23-146;1999;15;15;1344;14.9;2;1;2;0;0;3;0
Crysencio Summerville;nl NED;AT,LT;Leeds United;21-066;2001;11;4;494;5.5;4;0;4;0;0;1;0
Sam Surridge;eng ENG;AT;Nott'ham Forest;24-160;1998;10;1;174;1.9;0;0;0;0;0;1;0
Japhet Tanganga;eng ENG;ZG;Tottenham;23-279;1999;1;1;66;0.7;0;0;0;0;0;0;0
Matt Targett;eng ENG;ZG;Newcastle Utd;27-108;1995;10;4;426;4.7;0;0;0;0;0;0;0
James Tarkowski;eng ENG;ZG;Everton;30-046;1992;18;18;1620;18.0;0;0;0;0;0;3;0
Marcus Tavernier;eng ENG;LT,AT;Bournemouth;23-288;1999;15;15;1283;14.3;2;4;2;0;0;1;0
Kenny Tete;nl NED;ZG;Fulham;27-087;1995;12;11;978;10.9;0;4;0;0;0;6;0
Luke Thomas;eng ENG;ZG;Leicester City;21-208;2001;7;6;524;5.8;0;0;0;0;0;1;0
Youri Tielemans;be BEL;LT;Leicester City;25-242;1997;18;16;1377;15.3;3;1;2;1;2;1;0
Kieran Tierney;sct SCO;ZG;Arsenal;25-213;1997;14;4;457;5.1;0;0;0;0;0;0;0
Harry Toffolo;eng ENG;ZG;Nott'ham Forest;27-138;1995;9;6;606;6.7;0;0;0;0;0;0;0
Takehiro Tomiyasu;jp JPN;ZG;Arsenal;24-060;1998;13;4;456;5.1;0;0;0;0;0;1;0
James Tomkins;eng ENG;ZG;Crystal Palace;33-281;1989;2;1;104;1.2;0;0;0;0;0;2;1
Ivan Toney;eng ENG;AT;Brentford;26-294;1996;16;16;1439;16.0;12;3;9;3;3;6;0
Adama TraorÃ©;es ESP;AT,LT;Wolves;26-344;1996;14;6;698;7.8;1;0;1;0;0;0;0
Boubacar TraorÃ©;ml MLI;LT;Wolves;21-137;2001;8;4;384;4.3;0;1;0;0;0;2;0
Mark Travers;ie IRL;G;Bournemouth;23-231;1999;11;10;945;10.5;0;0;0;0;0;0;0
Kieran Trippier;eng ENG;ZG;Newcastle Utd;32-107;1990;18;18;1594;17.7;1;4;1;0;0;4;0
Leandro Trossard;be BEL;AT,LT;Brighton;28-031;1994;16;16;1315;14.6;7;2;7;0;0;1;0
Kostas Tsimikas;gr GRE;ZG;Liverpool;26-237;1996;12;5;441;4.9;0;3;0;0;0;1;0
Deniz Undav;de GER;AT,LT;Brighton;26-169;1996;8;0;101;1.1;0;0;0;0;0;0;0
Yan Valery;tn TUN;ZG;Southampton;23-316;1999;1;1;45;0.5;0;0;0;0;0;0;0
Virgil van Dijk;nl NED;ZG;Liverpool;31-180;1991;17;17;1485;16.5;2;0;2;0;0;1;0
RaphaÃ«l Varane;fr FRA;ZG;Manchester Utd;29-254;1993;12;10;850;9.4;0;0;0;0;0;1;0
Jamie Vardy;eng ENG;AT;Leicester City;35-358;1987;18;9;962;10.7;1;4;1;0;0;1;0
JoÃ«l Veltman;nl NED;ZG;Brighton;30-354;1992;15;13;1107;12.3;0;1;0;0;0;1;0
Fabio Vieira;pt POR;LT,AT;Arsenal;22-219;2000;9;1;249;2.8;1;1;1;0;0;0;0
RÃºben Vinagre;pt POR;ZG,LT;Everton;23-270;1999;2;0;26;0.3;0;0;0;0;0;0;0
Carlos VinÃ­cius;br BRA;AT;Fulham;27-285;1995;10;3;333;3.7;0;0;0;0;0;1;0
Theo Walcott;eng ENG;AT,LT;Southampton;33-294;1989;3;1;113;1.3;0;0;0;0;0;1;0
Kyle Walker;eng ENG;ZG;Manchester City;32-221;1990;7;7;560;6.2;0;0;0;0;0;0;0
Kyle Walker-Peters;eng ENG;ZG;Southampton;25-266;1997;13;13;1132;12.6;1;0;1;0;0;2;0
Aaron Wan-Bissaka;eng ENG;ZG;Manchester Utd;25-039;1997;4;3;253;2.8;0;0;0;0;0;0;0
Danny Ward;wls WAL;G;Leicester City;29-196;1993;18;18;1620;18.0;0;0;0;0;0;0;0
Joel Ward;eng ENG;ZG;Crystal Palace;33-067;1989;14;12;1135;12.6;0;0;0;0;0;4;0
James Ward-Prowse;eng ENG;LT;Southampton;28-064;1994;17;17;1530;17.0;3;2;3;0;1;2;0
Ollie Watkins;eng ENG;AT;Aston Villa;27-005;1995;16;15;1352;15.0;3;4;3;0;0;1;0
Adam Webster;eng ENG;ZG;Brighton;28-000;1995;13;13;1170;13.0;0;0;0;0;0;1;0
Danny Welbeck;eng ENG;AT;Brighton;32-039;1990;13;11;996;11.1;0;2;0;0;0;0;0
Ben White;eng ENG;ZG;Arsenal;25-088;1997;17;17;1374;15.3;0;2;0;0;0;3;0
Neco Williams;wls WAL;ZG;Nott'ham Forest;21-266;2001;17;12;1098;12.2;0;0;0;0;0;3;0
Willian;br BRA;AT;Fulham;34-148;1988;11;9;816;9.1;1;2;1;0;0;0;0
Joe Willock;eng ENG;LT;Newcastle Utd;23-137;1999;18;16;1346;15.0;2;2;2;0;0;0;0
Callum Wilson;eng ENG;AT;Newcastle Utd;30-311;1992;13;11;881;9.8;6;2;5;1;1;3;0
